regime,method,horizon_seconds,mae_median_bpm,mae_minimum_bpm,mae_maximum_bpm,seed_scope
temporal,History-informed,60,6.0118279457092285,6.003769874572754,6.057161808013916,5
temporal,History-informed,180,7.556800842285156,7.547680377960205,7.562630653381348,5
temporal,History-informed,300,8.24500846862793,8.239315032958984,8.267219543457031,5
temporal,Zero-history-trained,60,6.0674019172432745,6.053689135342814,6.077784974127725,5
temporal,Zero-history-trained,180,7.617408494914608,7.606478998418353,7.631605667496895,5
temporal,Zero-history-trained,300,8.332129863286253,8.320712716882026,8.335265285340181,5
temporal,GRU,60,6.053791522979736,6.04792594909668,6.081608772277832,3
temporal,GRU,180,7.580774307250977,7.579984188079834,7.588141918182373,3
temporal,GRU,300,8.299965858459473,8.294050216674805,8.306465148925781,3
temporal,EWMA,60,6.989269083452604,6.989269083452604,6.989269083452604,deterministic
temporal,EWMA,180,8.170839083631757,8.170839083631757,8.170839083631757,deterministic
temporal,EWMA,300,8.954805839189726,8.954805839189726,8.954805839189726,deterministic
temporal,Persistence,60,6.7259420633675,6.7259420633675,6.7259420633675,deterministic
temporal,Persistence,180,8.75667761981665,8.75667761981665,8.75667761981665,deterministic
temporal,Persistence,300,9.587486016407192,9.587486016407192,9.587486016407192,deterministic
unseen_user,History-informed,60,5.849038600921631,5.821257591247559,5.866835117340088,5
unseen_user,History-informed,180,7.407142639160156,7.3938140869140625,7.420022964477539,5
unseen_user,History-informed,300,8.156834602355957,8.126999855041504,8.212199211120605,5
unseen_user,Zero-history-trained,60,5.865716769787082,5.863444059755312,5.898516159545884,5
unseen_user,Zero-history-trained,180,7.486891899625586,7.463302035482155,7.493579627033447,5
unseen_user,Zero-history-trained,300,8.284732145754823,8.263283562354422,8.299649821497988,5
unseen_user,GRU,60,5.902315139770508,5.859635829925537,5.915415287017822,3
unseen_user,GRU,180,7.423017024993896,7.411548614501953,7.469837665557861,3
unseen_user,GRU,300,8.215645790100098,8.210880279541016,8.255524635314941,3
unseen_user,EWMA,60,6.65360678837727,6.65360678837727,6.65360678837727,deterministic
unseen_user,EWMA,180,7.9016596816433795,7.9016596816433795,7.9016596816433795,deterministic
unseen_user,EWMA,300,8.798426563020444,8.798426563020444,8.798426563020444,deterministic
unseen_user,Persistence,60,6.559022520910067,6.559022520910067,6.559022520910067,deterministic
unseen_user,Persistence,180,8.626678339409843,8.626678339409843,8.626678339409843,deterministic
unseen_user,Persistence,300,9.599249692307811,9.599249692307811,9.599249692307811,deterministic
external,History-masked,60,7.464600563049316,7.426656246185303,7.470535278320312,5
external,History-masked,180,10.205812454223633,10.191957473754885,10.230972290039062,5
external,History-masked,300,11.213605880737305,11.186100959777832,11.22553825378418,5
external,Zero-history-trained,60,7.461246632600803,7.447693770210599,7.48917068938796,5
external,Zero-history-trained,180,10.218396629123657,10.202217509540198,10.249956035496108,5
external,Zero-history-trained,300,11.226038919092698,11.214659190473968,11.2618075666709,5
external,GRU,60,7.527267456054687,7.500540733337402,7.54705810546875,3
external,GRU,180,10.245433807373049,10.207307815551758,10.25777530670166,3
external,GRU,300,11.259870529174805,11.218402862548828,11.26040267944336,3
external,EWMA,60,8.669707394295367,8.669707394295367,8.669707394295367,deterministic
external,EWMA,180,10.910898954873456,10.910898954873456,10.910898954873456,deterministic
external,EWMA,300,12.010545517378072,12.010545517378072,12.010545517378072,deterministic
external,Persistence,60,7.929412012105658,7.929412012105658,7.929412012105658,deterministic
external,Persistence,180,11.282177513374664,11.282177513374664,11.282177513374664,deterministic
external,Persistence,300,12.569113924961153,12.569113924961153,12.569113924961153,deterministic
