aggregation_version,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,aggregation,n_seeds,seeds,value_median,value_minimum,value_maximum,users,sessions,origins,seed_inferential_test,display_regime,seed_scope
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,60,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4938360154628753,0.4911764860153198,0.4941522479057312,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,60,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7959873080253601,0.7944225072860718,0.7988825440406799,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,60,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8963977694511414,0.8947581648826599,0.8992706537246704,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,180,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4919449985027313,0.4872712790966034,0.4961970746517181,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,180,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.793846607208252,0.7912757992744446,0.7958940863609314,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,180,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8969548940658569,0.8946265578269958,0.8973761796951294,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,300,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4902268648147583,0.4875439703464508,0.4915591776371002,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,300,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7907170057296753,0.7890791296958923,0.7921136021614075,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,temporal_main,,evaluation,interval,history_quantile_tcn,0.13.0,,temporal_main,within_user_temporal_test,history_informed,300,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8924071192741394,0.8917220234870911,0.8941163420677185,948,16012,104144,False,Temporal · history-informed,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,60,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4843597412109375,0.4814292788505554,0.4950934648513794,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,60,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7876461744308472,0.7809608578681946,0.8047458529472351,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,60,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8918876051902771,0.8893775343894958,0.9006331562995911,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,180,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4755927324295044,0.4711830615997314,0.4985617399215698,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,180,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7839660048484802,0.7800706624984741,0.7967067360877991,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,180,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8871961832046509,0.8842788934707642,0.8933376669883728,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,300,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.477859616279602,0.4719556272029876,0.4938555061817169,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,300,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.776561975479126,0.7700208425521851,0.7873826026916504,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,development,interval,history_quantile_tcn,0.11.0,,unseen_main,unseen_user_test,zero_history,300,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8771144151687622,0.8729032278060913,0.8817210793495178,105,15026,101184,False,Unseen user · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,60,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4875636696815491,0.4827649891376495,0.4996820986270904,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,60,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7816998958587646,0.7729597091674805,0.7947304248809814,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,60,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.8801383376121521,0.8774687647819519,0.8882562518119812,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,180,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4606637954711914,0.4554788172245025,0.47506844997406,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,180,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7504994869232178,0.7439901828765869,0.7620536088943481,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,180,0.9,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.858568012714386,0.8533203601837158,0.863433837890625,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,300,0.5,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.4587973952293396,0.4501386284828186,0.4649459421634674,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
0.22.0,unseen_main,,external,interval,history_quantile_tcn,0.11.0,0.21.0,unseen_main,goldencheetah_frozen_external,zero_history,300,0.8,True,picp,"origin-within-session, session-within-user, equal-user mean",5,20260722;20260723;20260724;20260725;20260726,0.7423403263092041,0.7362278699874878,0.748701810836792,144,31851,531725,False,Cross-source · history-masked,5-seed median and range
