analysis_version,valid_for_generalization,metric_family,horizon_seconds,nominal_coverage,calibrated,metric,leaky_minus_clean_estimate,ci_low,ci_high,users,matched_seed_count,matched_seeds,bootstrap_replicates,bootstrap_unit,bootstrap_order,direction
0.28.0,False,interval,60,0.5,false,mean_interval_width_bpm,-0.02012287536356932,-0.03380225008009799,-0.006599901242527207,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.5,false,picp,-7.943299025673978e-05,-0.0021109980281704254,0.0021483982921100524,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.5,true,mean_interval_width_bpm,-0.004766173392877402,-0.01844337055849367,0.008929859911493906,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.5,true,picp,0.0010537038288405377,-0.001143312105692609,0.003277916976348025,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.8,false,mean_interval_width_bpm,-0.06117667727391735,-0.08361161374372743,-0.03880132961756872,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.8,false,picp,0.0007058208767012964,-0.0011239211988601644,0.002601211966976086,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.8,true,mean_interval_width_bpm,-0.03502363264936915,-0.05757267064931515,-0.01247517811796012,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.8,true,picp,0.0014379872488255166,-0.00027417411208072824,0.0031949632736657813,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.9,false,mean_interval_width_bpm,-0.036410567925077804,-0.06425066414633841,-0.008790960427548452,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.9,false,picp,0.0017721368847641956,0.00011425181221743281,0.003537844462715782,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.9,true,mean_interval_width_bpm,-0.08496656480242919,-0.11213541529751818,-0.05680530340926203,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,60,0.9,true,picp,0.0007551138341016229,-0.0008939214776109153,0.0024453652177324242,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.5,false,mean_interval_width_bpm,0.03042516627543114,0.014172859150434602,0.047076419364772144,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.5,false,picp,-0.0007460251761577596,-0.00325287497839001,0.00161072252389014,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.5,true,mean_interval_width_bpm,0.024971268543348496,0.008680597664742757,0.04130897789545413,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.5,true,picp,-0.0012746711880544186,-0.0037633795074566013,0.0010302195474005652,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.8,false,mean_interval_width_bpm,0.09920542478832602,0.07178251307816275,0.1280039961499181,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.8,false,picp,0.0016969397826316081,6.2979143435905e-05,0.0033523190393325653,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.8,true,mean_interval_width_bpm,0.057425208269815016,0.030082655983415255,0.08485516708003686,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.8,true,picp,0.0011148947736080537,-0.0004947296563269909,0.0027605435468141416,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,false,mean_interval_width_bpm,0.015128720381894053,-0.01889018359490246,0.04914542048515773,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,false,picp,-0.0005348226558109168,-0.0020233458016682008,0.000847339472509499,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,true,mean_interval_width_bpm,0.03955211258971655,0.005647001385668434,0.07300973095667111,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,180,0.9,true,picp,0.00018332410602111927,-0.0013774203777835081,0.0016353533201231853,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,false,mean_interval_width_bpm,-0.01597922537937564,-0.03236802277000844,0.000686076723999336,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,false,picp,-0.0012621903231239916,-0.003254403882784594,0.0007747977417700466,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,true,mean_interval_width_bpm,0.004780279328515538,-0.011419797590092524,0.02177822873381746,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
0.28.0,False,interval,300,0.5,true,picp,-0.0002224296600303969,-0.002221019637853498,0.0018226772817706888,948,3,20260722;20260723;20260724,10000,user,"origin within session, session within user, paired user difference within seed, mean paired user difference across three seeds, percentile bootstrap over users",leaky minus clean
