protocol,evaluation,horizon_seconds,contrast,estimate_bpm,percentile_95_ci_low_bpm,percentile_95_ci_high_bpm,users,matched_seeds_per_user,bootstrap_replicates,bootstrap_unit,seed_resampling,uncertainty_interpretation
strict_temporal,internal_test,60,mixed_history_minus_independent_zero,-0.04427623590620711,-0.059160548984519404,-0.029335138878371338,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,60,mixed_history_minus_mixed_zero,-0.048138002770753745,-0.06291037556658223,-0.03420863263029226,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,60,mixed_zero_minus_independent_zero,0.0038617668645466257,-0.007756124607137036,0.015408401667401308,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,180,mixed_history_minus_independent_zero,-0.06288923045040389,-0.09118157478025707,-0.03381366230311128,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,180,mixed_history_minus_mixed_zero,-0.09371683989708107,-0.12057723349233197,-0.06780275880761635,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,180,mixed_zero_minus_independent_zero,0.03082760944667719,0.014646762590124722,0.04714004731943107,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,300,mixed_history_minus_independent_zero,-0.07865737267037008,-0.11264698041588753,-0.04625827279559536,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,300,mixed_history_minus_mixed_zero,-0.11289282822966153,-0.14759760910010009,-0.07817258456086816,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
strict_temporal,internal_test,300,mixed_zero_minus_independent_zero,0.03423545555929143,0.016677828779576614,0.05144738992388114,948,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,frozen_external,60,mixed_zero_minus_independent_zero,-0.006372361979943306,-0.015452877268954985,0.0027870337162938462,144,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,frozen_external,180,mixed_zero_minus_independent_zero,-0.013638861510809643,-0.02942562256682358,0.0020921032083265354,144,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,frozen_external,300,mixed_zero_minus_independent_zero,-0.02391969611127927,-0.04092331283700362,-0.007695020658341319,144,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,60,mixed_history_minus_independent_zero,-0.028641028774029013,-0.056457386393771576,0.005706328900549937,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,60,mixed_history_minus_mixed_zero,-0.03965937204653907,-0.06571714823160546,-0.01299413795533601,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,60,mixed_zero_minus_independent_zero,0.01101834327251006,-0.006047364897039274,0.028730369881299622,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,180,mixed_history_minus_independent_zero,-0.07631621931983157,-0.12381658010854944,-0.03582889506199477,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,180,mixed_history_minus_mixed_zero,-0.0880341469052889,-0.13335040286736846,-0.047854808312440246,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,180,mixed_zero_minus_independent_zero,0.011717927585457349,-0.03152767115356635,0.04223477099922019,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,300,mixed_history_minus_independent_zero,-0.1121300242471061,-0.1866883998563713,-0.04822877588326084,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,300,mixed_history_minus_mixed_zero,-0.1296439196732158,-0.22257283347626106,-0.05913273797329933,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
unseen_user,internal_test,300,mixed_zero_minus_independent_zero,0.017513895426109715,-0.031383440677027225,0.06194316584874621,105,5,10000,user,False,sampling uncertainty conditional on the declared seed set
