seed,protocol,evaluation,horizon_seconds,contrast,definition,mixed_history_mae_bpm,mixed_zero_mae_bpm,independent_zero_mae_bpm,difference_bpm,negative_favors_left,users,sessions,origins,aggregation,row_index_sha256,user_support_sha256
20260722,strict_temporal,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,6.011027069682615,6.055653671271483,6.0674019172432745,-0.05637484756065951,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,6.011828064290871,6.0701767271227105,6.067023039007729,-0.05519497471684703,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260724,strict_temporal,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,6.035853193073163,6.084411608078549,6.0777849741277254,-0.0419317810545648,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,6.057161722236351,6.1056434988517525,6.075121835137543,-0.017960112901185037,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,60,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,6.003769672045023,6.044444229857338,6.053689135342814,-0.0499194632977792,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,60,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,6.011027069682615,6.055653671271483,6.0674019172432745,-0.04462660158885315,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,60,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,6.011828064290871,6.0701767271227105,6.067023039007729,-0.05834866283182787,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260724,strict_temporal,internal_test,60,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,6.035853193073163,6.084411608078549,6.0777849741277254,-0.048558415005388864,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,60,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,6.057161722236351,6.1056434988517525,6.075121835137543,-0.04848177661539265,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,60,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,6.003769672045023,6.044444229857338,6.053689135342814,-0.04067455781230617,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,60,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,6.011027069682615,6.055653671271483,6.0674019172432745,-0.011748245971806364,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
