aggregation_version,experiment,family,phase,regime,horizon_seconds,n_seed_pairs,paired_seeds,history_mae_median_bpm,zero_history_mae_median_bpm,difference_median_bpm,difference_minimum_bpm,difference_maximum_bpm,difference_direction,seed_inferential_test
0.22.0,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,60,3,20260722;20260723;20260724,5.918801784515381,5.848422527313232,0.022669315338134766,0.004422664642333984,0.07037925720214844,negative favors history-informed,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,180,3,20260722;20260723;20260724,8.17273235321045,8.118179321289062,0.11787939071655273,-0.030670166015625,0.13568973541259766,negative favors history-informed,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,300,3,20260722;20260723;20260724,11.098682403564451,11.465617179870604,-0.36693477630615234,-0.4271011352539027,-0.2858848571777308,negative favors history-informed,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,60,3,20260722;20260723;20260724,6.209912300109863,6.17648983001709,0.043482303619384766,0.03342247009277344,0.050217628479003906,negative favors history-informed,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,180,3,20260722;20260723;20260724,8.570405006408691,8.418294906616211,0.15211009979248047,0.09123897552490234,0.16434955596923828,negative favors history-informed,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,300,3,20260722;20260723;20260724,9.059664726257324,8.97940444946289,0.06604385375976562,0.04184532165527344,0.0855703353881836,negative favors history-informed,False
0.22.0,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,60,3,20260722;20260723;20260724,8.133129119873047,8.121639251708984,0.023832321166992188,-0.01587677001953125,0.027747154235839844,negative favors history-informed,False
0.22.0,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,180,3,20260722;20260723;20260724,9.947577476501465,9.933760643005373,0.0348167419433576,0.006670951843261719,0.07171154022216797,negative favors history-informed,False
0.22.0,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,300,3,20260722;20260723;20260724,10.879020690917969,10.931707382202148,-0.03150081634521662,-0.07079887390136896,-0.022093772888183594,negative favors history-informed,False
0.22.0,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,60,3,20260722;20260723;20260724,8.145715713500977,8.10416030883789,0.004836082458496094,-0.005734443664550781,0.04155540466308594,negative favors history-informed,False
0.22.0,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,180,3,20260722;20260723;20260724,9.761539459228516,9.762580871582031,-0.001041412353515625,-0.022634506225585938,0.020837783813476562,negative favors history-informed,False
0.22.0,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,300,3,20260722;20260723;20260724,10.49169635772705,10.491859436035156,-0.023484230041503906,-0.07933902740478693,-0.00016307830810546875,negative favors history-informed,False
0.22.0,held_sport,running,evaluation,joint_user_sport__running,60,3,20260722;20260723;20260724,5.084980487823486,5.098534107208252,0.012715816497802734,-0.013553619384765625,0.05076313018798739,negative favors history-informed,False
0.22.0,held_sport,running,evaluation,joint_user_sport__running,180,3,20260722;20260723;20260724,6.583225727081299,6.529829502105713,0.07049083709716797,0.05339622497558594,0.07804059982299805,negative favors history-informed,False
0.22.0,held_sport,running,evaluation,joint_user_sport__running,300,3,20260722;20260723;20260724,7.336716175079346,7.256465435028076,0.08305835723876953,0.08025074005126953,0.10687398910522461,negative favors history-informed,False
0.22.0,held_sport,running,evaluation,unseen_sport__running,60,3,20260722;20260723;20260724,5.2611165046691895,5.23598051071167,0.014613628387451172,0.010517120361328125,0.03384685516357422,negative favors history-informed,False
0.22.0,held_sport,running,evaluation,unseen_sport__running,180,3,20260722;20260723;20260724,6.868812561035156,6.847751617431641,0.021060943603515625,0.009808540344238281,0.0505080223083505,negative favors history-informed,False
0.22.0,held_sport,running,evaluation,unseen_sport__running,300,3,20260722;20260723;20260724,7.617194652557373,7.577316284179687,0.042606830596924716,0.039878368377686435,0.10810661315917969,negative favors history-informed,False
0.22.0,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,60,3,20260722;20260723;20260724,9.395431518554688,9.70631980895996,-0.20974445343017578,-0.423828125,-0.15903663635253906,negative favors history-informed,False
0.22.0,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,180,3,20260722;20260723;20260724,11.96402072906494,12.421804428100586,-0.6021423339843732,-0.7193984985351562,-0.3934040069580096,negative favors history-informed,False
0.22.0,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,300,3,20260722;20260723;20260724,11.79708194732666,12.211858749389648,-0.3825960159301758,-0.693079948425293,-0.23398208618164062,negative favors history-informed,False
0.22.0,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,60,3,20260722;20260723;20260724,9.29273796081543,9.325697898864746,-0.01993846893310547,-0.032959938049316406,0.04903602600097656,negative favors history-informed,False
0.22.0,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,180,3,20260722;20260723;20260724,10.60898208618164,10.594474792480469,-0.055192947387693536,-0.06726741790771484,0.014507293701171875,negative favors history-informed,False
0.22.0,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,300,3,20260722;20260723;20260724,12.01248550415039,12.113240242004396,-0.0979166030883789,-0.10645389556884766,-0.0631551742553711,negative favors history-informed,False
0.22.0,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,60,3,20260722;20260723;20260724,6.5010294914245605,6.524622917175293,-0.023593425750732422,-0.05525493621826172,-0.017239093780517578,negative favors history-informed,False
0.22.0,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,180,3,20260722;20260723;20260724,7.252436637878418,7.4427618980407715,-0.19032526016235352,-0.2858567237854004,-0.16117525100708008,negative favors history-informed,False
0.22.0,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,300,3,20260722;20260723;20260724,8.842240333557129,9.21511173248291,-0.37287139892578125,-0.4262399673461914,-0.1339273452758789,negative favors history-informed,False
0.22.0,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,60,3,20260722;20260723;20260724,5.602084636688232,5.704274654388428,-0.10561561584472656,-0.10823297500610352,-0.09354114532470792,negative favors history-informed,False
0.22.0,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,180,3,20260722;20260723;20260724,7.730978965759277,7.913915157318115,-0.18916845321655362,-0.1957993507385254,-0.12526893615722656,negative favors history-informed,False
0.22.0,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,300,3,20260722;20260723;20260724,8.68795108795166,8.883514404296875,-0.18098163604736328,-0.19556331634521484,-0.12038612365722656,negative favors history-informed,False
0.22.0,temporal_main,,evaluation,within_user_temporal_test,60,5,20260722;20260723;20260724;20260725;20260726,6.0118279457092285,6.070176601409912,-0.04848194122314453,-0.058348655700683594,-0.04067420959472656,negative favors history-informed,False
0.22.0,temporal_main,,evaluation,within_user_temporal_test,180,5,20260722;20260723;20260724;20260725;20260726,7.556800842285156,7.64992618560791,-0.090087890625,-0.10816192626953125,-0.0878725051879874,negative favors history-informed,False
0.22.0,temporal_main,,evaluation,within_user_temporal_test,300,5,20260722;20260723;20260724;20260725;20260726,8.24500846862793,8.363932609558105,-0.1114206314086914,-0.12069416046142578,-0.1034860610961914,negative favors history-informed,False
0.22.0,unseen_main,,development,unseen_user_test,60,5,20260722;20260723;20260724;20260725;20260726,5.849038600921631,5.88263750076294,-0.04069328308105469,-0.044396400451660156,-0.03359889984130948,negative favors history-informed,False
0.22.0,unseen_main,,development,unseen_user_test,180,5,20260722;20260723;20260724;20260725;20260726,7.407142639160156,7.494663715362549,-0.08752107620239258,-0.09371328353881836,-0.08109569549560547,negative favors history-informed,False
0.22.0,unseen_main,,development,unseen_user_test,300,5,20260722;20260723;20260724;20260725;20260726,8.156834602355957,8.303367614746094,-0.12432670593261719,-0.14679813385009766,-0.11865234375,negative favors history-informed,False
0.22.0,unseen_main,,development,unseen_user_validation,60,5,20260722;20260723;20260724;20260725;20260726,6.201185703277588,6.244334220886231,-0.04705333709716797,-0.06055402755737216,-0.03672838211059659,negative favors history-informed,False
0.22.0,unseen_main,,development,unseen_user_validation,180,5,20260722;20260723;20260724;20260725;20260726,7.748815536499023,7.813691139221191,-0.07466554641723633,-0.08419179916381836,-0.05758333206176758,negative favors history-informed,False
0.22.0,unseen_main,,development,unseen_user_validation,300,5,20260722;20260723;20260724;20260725;20260726,8.242945671081543,8.340431213378906,-0.09748554229736328,-0.11262702941894531,-0.08896827697753906,negative favors history-informed,False
