aggregation_version,seed,experiment,family,phase,regime,horizon_seconds,history_informed_mae_bpm,zero_history_mae_bpm,history_minus_zero_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,60,5.862738609313965,5.84006929397583,0.022669315338134766,18,234,1523,negative favors history-informed,False
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,180,8.25386905670166,8.118179321289062,0.13568973541259766,18,234,1523,negative favors history-informed,False
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,300,10.967357635498049,11.394458770751951,-0.4271011352539027,18,234,1523,negative favors history-informed,False
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,60,6.273045539855957,6.222827911376953,0.050217628479003906,118,1571,11591,negative favors history-informed,False
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,180,8.690276145935059,8.52592658996582,0.16434955596923828,118,1571,11591,negative favors history-informed,False
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,300,9.059664726257324,9.01781940460205,0.04184532165527344,118,1571,11591,negative favors history-informed,False
0.22.0,20260722,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,60,8.133129119873047,8.149005889892578,-0.01587677001953125,77,6097,37856,negative favors history-informed,False
0.22.0,20260722,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,180,10.00547218322754,9.933760643005373,0.07171154022216797,77,6097,37856,negative favors history-informed,False
0.22.0,20260722,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,300,10.86090850830078,10.931707382202148,-0.07079887390136896,77,6097,37856,negative favors history-informed,False
0.22.0,20260722,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,60,8.147100448608398,8.15283489227295,-0.005734443664550781,452,40943,236748,negative favors history-informed,False
0.22.0,20260722,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,180,9.761539459228516,9.762580871582031,-0.001041412353515625,452,40943,236748,negative favors history-informed,False
0.22.0,20260722,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,300,10.49169635772705,10.491859436035156,-0.00016307830810546875,452,40943,236748,negative favors history-informed,False
0.22.0,20260722,held_sport,running,evaluation,joint_user_sport__running,60,5.084980487823486,5.098534107208252,-0.013553619384765625,88,8431,60542,negative favors history-informed,False
0.22.0,20260722,held_sport,running,evaluation,joint_user_sport__running,180,6.630910873413086,6.560420036315918,0.07049083709716797,88,8431,60542,negative favors history-informed,False
0.22.0,20260722,held_sport,running,evaluation,joint_user_sport__running,300,7.43487548828125,7.328001499176025,0.10687398910522461,88,8431,60542,negative favors history-informed,False
0.22.0,20260722,held_sport,running,evaluation,unseen_sport__running,60,5.2611165046691895,5.250599384307861,0.010517120361328125,448,44652,308648,negative favors history-informed,False
0.22.0,20260722,held_sport,running,evaluation,unseen_sport__running,180,6.95702075958252,6.90651273727417,0.0505080223083505,448,44652,308648,negative favors history-informed,False
0.22.0,20260722,held_sport,running,evaluation,unseen_sport__running,300,7.728622913360596,7.620516300201416,0.10810661315917969,448,44652,308648,negative favors history-informed,False
0.22.0,20260722,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,60,9.395431518554688,9.819259643554688,-0.423828125,20,112,503,negative favors history-informed,False
0.22.0,20260722,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,180,12.068293571472168,12.787692070007324,-0.7193984985351562,20,112,503,negative favors history-informed,False
0.22.0,20260722,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,300,11.71924114227295,12.412321090698242,-0.693079948425293,20,112,503,negative favors history-informed,False
0.22.0,20260722,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,60,9.29273796081543,9.325697898864746,-0.032959938049316406,106,587,3189,negative favors history-informed,False
0.22.0,20260722,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,180,10.721684455871582,10.776877403259276,-0.055192947387693536,106,587,3189,negative favors history-informed,False
0.22.0,20260722,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,300,12.034716606140137,12.132633209228516,-0.0979166030883789,106,587,3189,negative favors history-informed,False
0.22.0,20260722,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,60,6.5199408531188965,6.537179946899414,-0.017239093780517578,19,96,428,negative favors history-informed,False
0.22.0,20260722,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,180,7.422905445098877,7.584080696105957,-0.16117525100708008,19,96,428,negative favors history-informed,False
0.22.0,20260722,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,300,8.976508140563965,9.402748107910156,-0.4262399673461914,19,96,428,negative favors history-informed,False
0.22.0,20260722,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,60,5.612342834472656,5.72057580947876,-0.10823297500610352,144,2063,10149,negative favors history-informed,False
0.22.0,20260722,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,180,7.724746704101562,7.913915157318115,-0.18916845321655362,144,2063,10149,negative favors history-informed,False
0.22.0,20260722,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,300,8.862936973571777,9.04391860961914,-0.18098163604736328,144,2063,10149,negative favors history-informed,False
0.22.0,20260722,temporal_main,,evaluation,within_user_temporal_test,60,6.0110273361206055,6.05565357208252,-0.04462623596191495,948,16012,104144,negative favors history-informed,False
0.22.0,20260722,temporal_main,,evaluation,within_user_temporal_test,180,7.555811405181885,7.64992618560791,-0.09411478042602539,948,16012,104144,negative favors history-informed,False
0.22.0,20260722,temporal_main,,evaluation,within_user_temporal_test,300,8.24500846862793,8.365702629089355,-0.12069416046142578,948,16012,104144,negative favors history-informed,False
0.22.0,20260722,unseen_main,,development,unseen_user_test,60,5.831853866577148,5.868225574493408,-0.036371707916259766,105,15026,101184,negative favors history-informed,False
0.22.0,20260722,unseen_main,,development,unseen_user_test,180,7.397328853607178,7.483583450317383,-0.08625459671020508,105,15026,101184,negative favors history-informed,False
0.22.0,20260722,unseen_main,,development,unseen_user_test,300,8.126999855041504,8.251067161560059,-0.12406730651855469,105,15026,101184,negative favors history-informed,False
0.22.0,20260722,unseen_main,,development,unseen_user_validation,60,6.183519840240479,6.244073867797852,-0.06055402755737216,127,19062,123370,negative favors history-informed,False
0.22.0,20260722,unseen_main,,development,unseen_user_validation,180,7.731301784515381,7.813691139221191,-0.08238935470581055,127,19062,123370,negative favors history-informed,False
0.22.0,20260722,unseen_main,,development,unseen_user_validation,300,8.211639404296875,8.32426643371582,-0.11262702941894531,127,19062,123370,negative favors history-informed,False
0.22.0,20260723,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,60,5.993279457092285,5.988856792449951,0.004422664642333984,18,234,1523,negative favors history-informed,False
0.22.0,20260723,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,180,8.17273235321045,8.203402519226074,-0.030670166015625,18,234,1523,negative favors history-informed,False
0.22.0,20260723,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,300,11.359700202941896,11.645585060119627,-0.2858848571777308,18,234,1523,negative favors history-informed,False
0.22.0,20260723,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,60,6.209912300109863,6.17648983001709,0.03342247009277344,118,1571,11591,negative favors history-informed,False
0.22.0,20260723,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,180,8.493586540222168,8.402347564697266,0.09123897552490234,118,1571,11591,negative favors history-informed,False
0.22.0,20260723,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,300,9.064974784851074,8.97940444946289,0.0855703353881836,118,1571,11591,negative favors history-informed,False
