aggregation_version,seed,main_experiment,comparator_experiment,comparator_model,regime,horizon_seconds,main_mode,main_mae_bpm,comparator_mae_bpm,main_minus_comparator_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,60,zero_history,6.399306774139404,6.490012645721436,-0.09070587158203214,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,180,zero_history,9.548711776733398,9.872933387756348,-0.3242216110229492,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,300,zero_history,11.40442943572998,11.773541450500488,-0.3691120147705078,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,60,zero_history,7.697455883026123,7.73647928237915,-0.039023399353027344,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,180,zero_history,10.524621963500977,10.567808151245115,-0.04318618774413885,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,300,zero_history,11.567116737365724,11.607157707214355,-0.040040969848631036,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__running,60,zero_history,5.706521034240723,5.770437240600586,-0.06391620635986328,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__running,180,zero_history,7.713495254516602,7.722392559051514,-0.00889730453491211,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_external__running,300,zero_history,8.702949523925781,8.607782363891602,0.09516716003417969,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,60,zero_history,7.454541683197021,7.500540733337402,-0.04599905014038175,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,180,zero_history,10.205812454223633,10.25777530670166,-0.051962852478027344,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,300,zero_history,11.213605880737305,11.26040267944336,-0.04679679870605469,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,unseen_user_test,60,zero_history,5.868225574493408,5.859635829925537,0.008589744567871094,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,unseen_user_test,180,zero_history,7.483583450317383,7.411548614501953,0.07203483581542969,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,unseen_user_test,300,zero_history,8.251067161560059,8.215645790100098,0.03542137145996094,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,unseen_user_validation,60,zero_history,6.244073867797852,6.218024253845215,0.02604961395263672,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,unseen_user_validation,180,zero_history,7.813691139221191,7.732940196990967,0.08075094223022461,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260722,unseen_main,unseen_gru,gru,unseen_user_validation,300,zero_history,8.32426643371582,8.248167991638184,0.07609844207763672,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,60,zero_history,6.412806987762451,6.5493998527526855,-0.13659286499023438,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,180,zero_history,9.528862953186035,9.824864387512209,-0.29600143432617365,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,300,zero_history,11.372793197631836,11.698575973510742,-0.32578277587890625,41,2275,26235,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,60,zero_history,7.703134536743164,7.777225971221924,-0.07409143447875977,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,180,zero_history,10.53630542755127,10.512924194335938,0.02338123321533203,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,300,zero_history,11.564311981201172,11.557241439819336,0.0070705413818359375,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__running,60,zero_history,5.716474533081055,5.823182582855225,-0.10670804977416992,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__running,180,zero_history,7.681581974029541,7.633836269378662,0.047745704650878906,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260723,unseen_main,unseen_gru,gru,goldencheetah_external__running,300,zero_history,8.74850082397461,8.557849884033203,0.19065093994140625,50,3819,34670,negative favors main zero-history model,False
