aggregation_version,main_experiment,comparator_experiment,comparator_model,regime,horizon_seconds,main_mode,n_seed_pairs,paired_seeds,main_mae_median_bpm,comparator_mae_median_bpm,difference_median_bpm,difference_minimum_bpm,difference_maximum_bpm,difference_direction,seed_inferential_test
0.22.0,temporal_main,temporal_gru,gru,within_user_temporal_test,60,zero_history,3,20260722;20260723;20260724,6.070176601409912,6.053791522979736,0.022250652313232422,-0.025955200195311612,0.030620574951171875,negative favors main zero-history model,False
0.22.0,temporal_main,temporal_gru,gru,within_user_temporal_test,180,zero_history,3,20260722;20260723;20260724,7.64992618560791,7.580774307250977,0.0691518783569336,0.06770038604736328,0.06992959976196289,negative favors main zero-history model,False
0.22.0,temporal_main,temporal_gru,gru,within_user_temporal_test,300,zero_history,3,20260722;20260723;20260724,8.363932609558105,8.299965858459473,0.06573677062988281,0.051970481872558594,0.06988239288330078,negative favors main zero-history model,False
0.22.0,temporal_main,temporal_tcn,tcn,within_user_temporal_test,60,zero_history,3,20260722;20260723;20260724,6.070176601409912,6.10420560836792,-0.02160358428955078,-0.07098960876464755,-0.01979351043701172,negative favors main zero-history model,False
0.22.0,temporal_main,temporal_tcn,tcn,within_user_temporal_test,180,zero_history,3,20260722;20260723;20260724,7.64992618560791,7.617093086242676,0.032820701599121094,0.024469852447509766,0.04302358627319336,negative favors main zero-history model,False
0.22.0,temporal_main,temporal_tcn,tcn,within_user_temporal_test,300,zero_history,3,20260722;20260723;20260724,8.363932609558105,8.332843780517578,0.027032852172851562,0.02559185028076172,0.042326927185058594,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,60,zero_history,3,20260722;20260723;20260724,6.399306774139404,6.533020973205566,-0.13659286499023438,-0.19402790069580078,-0.09070587158203214,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,180,zero_history,3,20260722;20260723;20260724,9.528862953186035,9.872933387756348,-0.3242216110229492,-0.37541866302490234,-0.29600143432617365,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__indoor_virtual_cycling,300,zero_history,3,20260722;20260723;20260724,11.373435020446776,11.734527587890623,-0.36109256744384766,-0.3691120147705078,-0.32578277587890625,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,60,zero_history,3,20260722;20260723;20260724,7.697455883026123,7.761177539825439,-0.07409143447875977,-0.09402132034301669,-0.039023399353027344,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,180,zero_history,3,20260722;20260723;20260724,10.524621963500977,10.554752349853516,-0.04121208190917969,-0.04318618774413885,0.02338123321533203,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__outdoor_cycling,300,zero_history,3,20260722;20260723;20260724,11.564311981201172,11.602807998657228,-0.040040969848631036,-0.06107616424560902,0.0070705413818359375,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__running,60,zero_history,3,20260722;20260723;20260724,5.712589263916016,5.799711227416992,-0.08712196350097656,-0.10670804977416992,-0.06391620635986328,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__running,180,zero_history,3,20260722;20260723;20260724,7.69429874420166,7.677884578704834,0.016414165496826172,-0.00889730453491211,0.047745704650878906,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_external__running,300,zero_history,3,20260722;20260723;20260724,8.702949523925781,8.607782363891602,0.09516716003417969,0.03661060333251953,0.19065093994140625,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,60,zero_history,3,20260722;20260723;20260724,7.454541683197021,7.527267456054687,-0.0824575424194336,-0.10061120986938388,-0.04599905014038175,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,180,zero_history,3,20260722;20260723;20260724,10.205812454223633,10.245433807373049,-0.047712326049806464,-0.051962852478027344,0.00476932525634588,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,goldencheetah_frozen_external,300,zero_history,3,20260722;20260723;20260724,11.213605880737305,11.259870529174805,-0.04679679870605469,-0.06877994537353516,-0.004472732543943536,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,unseen_user_test,60,zero_history,3,20260722;20260723;20260724,5.898017883300781,5.902315139770508,0.007756233215332031,-0.017397403717041016,0.008589744567871094,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,unseen_user_test,180,zero_history,3,20260722;20260723;20260724,7.483583450317383,7.423017024993896,0.07203483581542969,0.005072116851806641,0.09071922302246183,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,unseen_user_test,300,zero_history,3,20260722;20260723;20260724,8.303367614746094,8.215645790100098,0.047842979431152344,0.03542137145996094,0.12564563751220703,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,unseen_user_validation,60,zero_history,3,20260722;20260723;20260724,6.244334220886231,6.254271984100342,0.005905628204346591,-0.024211883544920987,0.02604961395263672,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,unseen_user_validation,180,zero_history,3,20260722;20260723;20260724,7.813691139221191,7.747066497802734,0.08075094223022461,0.045751094818115234,0.10695886611938477,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_gru,gru,unseen_user_validation,300,zero_history,3,20260722;20260723;20260724,8.340431213378906,8.268796920776367,0.07609844207763672,0.06785202026367188,0.07946395874023438,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,60,zero_history,3,20260722;20260723;20260724,6.399306774139404,6.486262798309326,-0.073455810546875,-0.16602516174316406,-0.03834819793701172,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,180,zero_history,3,20260722;20260723;20260724,9.528862953186035,9.632904052734377,-0.10404109954834162,-0.1393594741821289,-0.032547950744628906,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__indoor_virtual_cycling,300,zero_history,3,20260722;20260723;20260724,11.373435020446776,11.568689346313477,-0.19589614868164062,-0.2184467315673846,-0.06486988067626953,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,60,zero_history,3,20260722;20260723;20260724,7.697455883026123,7.746150970458984,-0.06891679763793856,-0.0789947509765625,0.0044841766357421875,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,180,zero_history,3,20260722;20260723;20260724,10.524621963500977,10.505462646484377,0.027828216552734375,-0.04521751403808594,0.030842781066892755,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,300,zero_history,3,20260722;20260723;20260724,11.564311981201172,11.573172569274902,-0.006055831909177911,-0.08672332763672053,-0.0035047531127929688,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,60,zero_history,3,20260722;20260723;20260724,5.712589263916016,5.730733871459961,-0.018144607543945312,-0.0842442512512207,0.03174114227294922,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,180,zero_history,3,20260722;20260723;20260724,7.69429874420166,7.599831581115723,0.10722732543945312,0.028644561767578125,0.1136636734008789,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,300,zero_history,3,20260722;20260723;20260724,8.702949523925781,8.620933532714844,0.07379341125488281,0.033390045166015625,0.0820159912109375,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,60,zero_history,3,20260722;20260723;20260724,7.454541683197021,7.505107402801514,-0.07120990753173828,-0.07845115661621094,0.002258300781249112,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,180,zero_history,3,20260722;20260723;20260724,10.205812454223633,10.18344497680664,0.028632164001463067,-0.03084373474120916,0.03199958801269531,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,300,zero_history,3,20260722;20260723;20260724,11.213605880737305,11.217134475708008,-0.0032043457031232236,-0.08549499511718572,-0.001498222351075995,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,unseen_user_test,60,zero_history,3,20260722;20260723;20260724,5.898017883300781,5.896884441375732,0.0015134811401358306,-0.020571231842041016,0.013186931610107422,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,unseen_user_test,180,zero_history,3,20260722;20260723;20260724,7.483583450317383,7.453430652618408,0.035181522369384766,-0.002815723419189453,0.06030559539794922,negative favors main zero-history model,False
0.22.0,unseen_main,unseen_tcn,tcn,unseen_user_test,300,zero_history,3,20260722;20260723;20260724,8.303367614746094,8.256620407104492,0.020682334899902344,-0.0006818771362304688,0.07990550994873047,negative favors main zero-history model,False
