aggregation_version,seed,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,value,users,sessions,origins,aggregation,source_file,source_sha256
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,false,absolute_coverage_error,0.0140908658504486,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,false,mean_interval_width_bpm,10.389909744262695,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,false,picp,0.4859091341495514,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,true,absolute_coverage_error,0.0140908658504486,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,true,mean_interval_width_bpm,10.389909744262695,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.5,true,picp,0.4859091341495514,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,false,absolute_coverage_error,0.0473918437957763,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,false,mean_interval_width_bpm,21.138086318969727,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,false,picp,0.8473918437957764,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,absolute_coverage_error,0.0473918437957763,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,mean_interval_width_bpm,21.138086318969727,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.8,true,picp,0.8473918437957764,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
