model_version,regime,mode,horizon_seconds,nominal_coverage,calibrated,picp,absolute_coverage_error,mean_interval_width_bpm,conformal_adjustment_bpm,users,sessions,origins
0.11.0,unseen_user_validation,zero_history,60,0.5,False,0.4773540198802948,0.0226459801197052,9.527968406677246,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.5,False,0.48861169815063477,0.011388301849365234,11.827695846557617,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.5,False,0.48661738634109497,0.01338261365890503,12.752949714660645,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.5,True,0.4850393235683441,0.014960676431655884,9.625622749328613,0.048828125,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.5,True,0.48861169815063477,0.011388301849365234,11.827695846557617,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.5,True,0.48661738634109497,0.01338261365890503,12.752949714660645,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.8,False,0.7849867343902588,0.015013265609741255,18.66606330871582,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.8,False,0.7872577905654907,0.012742209434509322,23.31443977355957,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.8,False,0.795141339302063,0.004858660697937056,25.39350128173828,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.8,True,0.7887417674064636,0.011258232593536421,18.801977157592773,0.067962646484375,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.8,True,0.7872577905654907,0.012742209434509322,23.31443977355957,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.8,True,0.795141339302063,0.004858660697937056,25.39350128173828,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.9,False,0.8877673745155334,0.012232625484466575,24.85730743408203,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.9,False,0.8898569345474243,0.010143065452575706,31.351520538330078,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.9,False,0.8946651220321655,0.005334877967834495,34.34219741821289,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.9,True,0.8914970755577087,0.008502924442291282,25.122859954833984,0.1328125,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.9,True,0.8898569345474243,0.010143065452575706,31.351520538330078,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.9,True,0.8946651220321655,0.005334877967834495,34.34219741821289,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.5,False,0.4837949573993683,0.016205042600631714,9.549086570739746,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.5,False,0.4832477867603302,0.0167522132396698,11.832752227783203,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.5,False,0.48075228929519653,0.019247710704803467,12.73981761932373,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.5,True,0.4904992878437042,0.009500712156295776,9.630813598632812,0.040863037109375,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.5,True,0.4843082129955292,0.015691787004470825,11.862049102783203,0.0146484375,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.5,True,0.48075228929519653,0.019247710704803467,12.73981761932373,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.8,False,0.7864630818367004,0.013536918163299605,18.813310623168945,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.8,False,0.7889440059661865,0.011055994033813521,23.37063980102539,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.8,False,0.7901302576065063,0.009869742393493697,25.33096694946289,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.8,True,0.7910597324371338,0.008940267562866255,18.96954345703125,0.078125,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.8,True,0.7937126755714417,0.006287324428558394,23.596572875976562,0.11297607421875,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.8,True,0.7901302576065063,0.009869742393493697,25.33096694946289,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.9,False,0.8897877335548401,0.010212266445159934,25.093645095825195,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.9,False,0.890566885471344,0.009433114528656028,31.343223571777344,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.9,False,0.8928584456443787,0.00714155435562136,34.02482986450195,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.9,True,0.8936079144477844,0.006392085552215598,25.339677810668945,0.123046875,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.9,True,0.8938125371932983,0.006187462806701682,31.605690002441406,0.13124847412109375,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.9,True,0.8947106599807739,0.005289340019226096,34.214237213134766,0.0947265625,127,19062,123370
0.11.0,unseen_user_test,zero_history,60,0.5,False,0.47992703318595886,0.020072966814041138,9.018671989440918,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.5,False,0.4838394522666931,0.016160547733306885,11.255687713623047,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.5,False,0.4766938090324402,0.023306190967559814,12.172658920288086,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.5,True,0.486626535654068,0.013373464345932007,9.11629867553711,0.048828125,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.5,True,0.4838394522666931,0.016160547733306885,11.255687713623047,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.5,True,0.4766938090324402,0.023306190967559814,12.172658920288086,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.8,False,0.7836582660675049,0.01634173393249516,17.751176834106445,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.8,False,0.7865400910377502,0.0134599089622498,22.283235549926758,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.8,False,0.7808824777603149,0.019117522239685103,24.349056243896484,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.8,True,0.7876573204994202,0.012342679500579878,17.886890411376953,0.067962646484375,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.8,True,0.7865400910377502,0.0134599089622498,22.283235549926758,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.8,True,0.7808824777603149,0.019117522239685103,24.349056243896484,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.9,False,0.8876641988754272,0.012335801124572776,23.691099166870117,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.9,False,0.8882402777671814,0.011759722232818626,30.087614059448242,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.9,False,0.8790211081504822,0.020978891849517844,33.07004165649414,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.9,True,0.8917399644851685,0.008260035514831565,23.95604133605957,0.1328125,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.9,True,0.8882402777671814,0.011759722232818626,30.087614059448242,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.9,True,0.8790211081504822,0.020978891849517844,33.07004165649414,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.5,False,0.4851900339126587,0.014809966087341309,9.034075736999512,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.5,False,0.4812993109226227,0.01870068907737732,11.148231506347656,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.5,False,0.472169429063797,0.027830570936203003,12.053088188171387,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.5,True,0.49079379439353943,0.009206205606460571,9.115717887878418,0.040863037109375,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.5,True,0.482991486787796,0.01700851321220398,11.177492141723633,0.0146484375,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.5,True,0.472169429063797,0.027830570936203003,12.053088188171387,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.8,False,0.7862041592597961,0.013795840740203902,17.825448989868164,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.8,False,0.783123254776001,0.016876745223999068,22.132097244262695,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.8,False,0.7766943573951721,0.023305642604827925,24.060712814331055,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.8,True,0.7909777164459229,0.009022283554077193,17.981294631958008,0.078125,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.8,True,0.789323091506958,0.010676908493042037,22.357364654541016,0.11297607421875,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.8,True,0.7766943573951721,0.023305642604827925,24.060712814331055,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.9,False,0.8901286721229553,0.0098713278770447,23.822179794311523,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.9,False,0.8872188925743103,0.01278110742568972,29.812406539916992,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.9,False,0.8790849447250366,0.0209150552749634,32.46125793457031,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.9,True,0.8941596150398254,0.005840384960174583,24.067405700683594,0.123046875,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.9,True,0.8903716206550598,0.009628379344940208,30.073829650878906,0.13124847412109375,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.9,True,0.880663275718689,0.019336724281311057,32.64988327026367,0.0947265625,105,15026,101184
0.11.0,goldencheetah_frozen_external,zero_history,60,0.5,False,0.478454053401947,0.02154594659805298,11.243045806884766,0.0,144,31851,531725
