model_version,regime,mode,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.11.0,unseen_user_validation,zero_history,history_quantile_tcn,60,6.324178695678711,7.655869483947754,0.39892807602882385,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,zero_history,history_quantile_tcn,180,7.872355937957764,9.476551055908203,0.7415329813957214,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,zero_history,history_quantile_tcn,300,8.417776107788086,10.077936172485352,0.4847005307674408,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,history_informed,history_quantile_tcn,60,6.266599655151367,7.587291717529297,0.3849851191043854,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,history_informed,history_quantile_tcn,180,7.783915996551514,9.342850685119629,0.4498901665210724,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,history_informed,history_quantile_tcn,300,8.292105674743652,9.904786109924316,0.32148998975753784,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,zero_history,history_quantile_tcn,60,5.876306533813477,7.161402702331543,0.054274532943964005,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,zero_history,history_quantile_tcn,180,7.512609958648682,9.03593635559082,0.40032342076301575,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,zero_history,history_quantile_tcn,300,8.339071273803711,9.947872161865234,0.23077602684497833,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,history_informed,history_quantile_tcn,60,5.834168434143066,7.107925891876221,0.1699712723493576,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,history_informed,history_quantile_tcn,180,7.42262601852417,8.919285774230957,0.3065015971660614,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,history_informed,history_quantile_tcn,300,8.197627067565918,9.779900550842285,0.25550082325935364,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_frozen_external,zero_history,history_quantile_tcn,60,7.44843864440918,9.63027572631836,0.28978097438812256,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_frozen_external,zero_history,history_quantile_tcn,180,10.226706504821777,12.903488159179688,0.16916275024414062,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_frozen_external,zero_history,history_quantile_tcn,300,11.271156311035156,14.077820777893066,-0.13499987125396729,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,history_quantile_tcn,60,7.682663440704346,9.93867301940918,0.30189499258995056,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,history_quantile_tcn,180,10.550355911254883,13.320293426513672,0.09632346034049988,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,history_quantile_tcn,300,11.630230903625488,14.535210609436035,-0.2467023879289627,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,history_quantile_tcn,60,6.293107986450195,8.067439079284668,-0.12908758223056793,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,history_quantile_tcn,180,9.348956108093262,11.84361457824707,0.48916852474212646,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,history_quantile_tcn,300,11.24617862701416,13.937403678894043,0.4417048990726471,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__running,zero_history,history_quantile_tcn,60,5.671499729156494,7.6031413078308105,0.5467583537101746,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__running,zero_history,history_quantile_tcn,180,7.680195331573486,9.814031600952148,0.677651584148407,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__running,zero_history,history_quantile_tcn,300,8.644150733947754,10.914359092712402,0.7528935074806213,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
