model_version,regime,mode,horizon_seconds,calibrated,pinball_loss,weighted_interval_score,normalized_90_interval_width,mean_user_spearman_width_absolute_error,users_with_defined_spearman,users,sessions,origins
0.11.0,unseen_user_validation,zero_history,60,False,1.872260570526123,3.744520664215088,0.18326649069786072,0.3713192551249699,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,False,2.364156723022461,4.728313446044922,0.22890223562717438,0.3084120604542433,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,False,2.5141072273254395,5.028214454650879,0.25022265315055847,0.27974209717667553,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,True,1.872260570526123,3.743605375289917,0.18516778945922852,0.3713201809749588,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,True,2.364156723022461,4.728313446044922,0.22890223562717438,0.3084120604542433,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,True,2.5141072273254395,5.028214454650879,0.25022265315055847,0.27974209717667553,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,False,1.8500092029571533,3.7000184059143066,0.18441806733608246,0.3621390426685773,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,False,2.3230011463165283,4.646002292633057,0.2283034473657608,0.30737236283036884,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,False,2.4626824855804443,4.925364971160889,0.24736712872982025,0.2729097985208302,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,True,1.8500092029571533,3.699331521987915,0.1861795037984848,0.36213934669491504,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,True,2.3230011463165283,4.645364761352539,0.23017773032188416,0.30736977066093074,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,True,2.4626824855804443,4.925193786621094,0.2487173229455948,0.27290962712530287,127,127,19062,123370
0.11.0,unseen_user_test,zero_history,60,False,1.7474595308303833,3.4949190616607666,0.16930381953716278,0.35795358744900974,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,False,2.243274688720703,4.486548900604248,0.21335242688655853,0.3275274388065878,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,False,2.5073201656341553,5.0146403312683105,0.23429976403713226,0.2938750039078528,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,True,1.7474595308303833,3.4939961433410645,0.17115747928619385,0.3579638954335327,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,True,2.243274688720703,4.486548900604248,0.21335242688655853,0.3275274388065878,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,True,2.5073201656341553,5.0146403312683105,0.23429976403713226,0.2938750039078528,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,False,1.7273826599121094,3.4547650814056396,0.17016759514808655,0.3538533685719604,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,False,2.2089664936065674,4.417932987213135,0.2114885300397873,0.321465949610596,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,False,2.4550223350524902,4.9100446701049805,0.23012807965278625,0.2866911910846494,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,True,1.7273826599121094,3.4540698528289795,0.17188385128974915,0.3538570980286947,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,True,2.2089664936065674,4.416957855224609,0.21331574022769928,0.3215045332688809,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,True,2.4550223350524902,4.909488201141357,0.23144546151161194,0.28669665083828816,104,105,15026,101184
0.11.0,goldencheetah_frozen_external,zero_history,60,False,2.2273130416870117,4.454625606536865,0.22352218627929688,0.387494532174288,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,False,3.040945291519165,6.08189058303833,0.2835022807121277,0.33241539334343073,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,False,3.360602855682373,6.721205234527588,0.30869734287261963,0.2893162089750851,144,144,31851,531725
