analysis_version,source_model_version,regime,mode,horizon_seconds,nominal_coverage,calibration_sensitivity,adjustment_median_bpm,adjustment_ci_low_bpm,adjustment_ci_high_bpm,picp_median,picp_ci_low,picp_ci_high,calibration_users,evaluation_users,bootstrap_replicates,formal_coverage_guarantee_claimed
0.20.0,0.11.0,unseen_user_test,history_informed,60,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.0,0.0,0.8357440948486328,0.49573276937007904,0.4765854224562645,0.5939739882946015,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,180,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.1455078125,0.0,1.2617513656616206,0.49437806010246277,0.4686287693679333,0.597513122856617,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,300,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.06406021118164062,0.0,1.2864532470703125,0.49168524146080017,0.4693152941763401,0.5876436769962311,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,60,0.8,bootstrap calibration users; one sampled session and origin per sampled user,0.3798828125,0.0,1.851646041870116,0.8154532611370087,0.786540812253952,0.8805093765258789,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,180,0.8,bootstrap calibration users; one sampled session and origin per sampled user,0.6001358032226562,0.0,2.59375,0.81181401014328,0.7792026728391648,0.8758523941040038,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,300,0.8,bootstrap calibration users; one sampled session and origin per sampled user,0.4425201416015625,0.0,3.409543991088865,0.8001429438591003,0.768934166431427,0.8783488884568214,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,60,0.9,bootstrap calibration users; one sampled session and origin per sampled user,0.8046875,0.0,3.5652393341064434,0.9163049459457397,0.8914430633187294,0.9588036298751831,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,180,0.9,bootstrap calibration users; one sampled session and origin per sampled user,0.9453125,0.0,5.395930099487296,0.9108282923698425,0.8854104310274125,0.9598207086324692,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,history_informed,300,0.9,bootstrap calibration users; one sampled session and origin per sampled user,1.046875,0.0,5.409690475463862,0.9026021659374237,0.8696984812617302,0.9503097012639046,97,105,10000,False
0.20.0,0.11.0,unseen_user_test,zero_history,60,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.0390625,0.0,0.9111328125,0.49373646080493927,0.47096628323197365,0.5956628605723381,97,105,10000,False
0.20.0,0.11.0,goldencheetah_frozen_external,zero_history,60,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.0390625,0.0,0.9111328125,0.49099935591220856,0.47570757418870924,0.5657748281955718,97,144,10000,False
0.20.0,0.11.0,unseen_user_test,zero_history,180,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.234375,0.0,1.3586162567138669,0.5003298819065094,0.4637694418430328,0.600747226178646,97,105,10000,False
0.20.0,0.11.0,goldencheetah_frozen_external,zero_history,180,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.234375,0.0,1.3586162567138669,0.4750748723745346,0.45094714015722276,0.5441262602806092,97,144,10000,False
0.20.0,0.11.0,unseen_user_test,zero_history,300,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.10813140869140625,0.0,1.34765625,0.4907718449831009,0.4631728932261467,0.588868610560894,97,105,10000,False
0.20.0,0.11.0,goldencheetah_frozen_external,zero_history,300,0.5,bootstrap calibration users; one sampled session and origin per sampled user,0.10813140869140625,0.0,1.34765625,0.4647985249757767,0.446203937381506,0.5339699774980545,97,144,10000,False
0.20.0,0.11.0,unseen_user_test,zero_history,60,0.8,bootstrap calibration users; one sampled session and origin per sampled user,0.46484375,0.0,2.203125,0.8141172528266907,0.7799523442983627,0.8831983745098114,97,105,10000,False
