analysis_version,source_model_version,comparison_scope,sport_family,horizon_seconds,internal_mae_bpm,internal_mae_ci_low_bpm,internal_mae_ci_high_bpm,external_mae_bpm,external_mae_ci_low_bpm,external_mae_ci_high_bpm,external_minus_internal_bpm,difference_ci_low_bpm,difference_ci_high_bpm,internal_users,external_users,internal_sessions,external_sessions,internal_origins,external_origins,bootstrap_replicates,bootstrap_unit,aggregation,causal_source_or_device_effect_claimed
0.20.1,0.11.0,reported_natural_mix,all_internal_test_vs_external_shared_three,60,5.868225574493408,5.413826261389823,6.344109545406841,7.4545416831970215,7.133834806539946,7.778282004180882,1.5863161087036133,1.0235011201505624,2.132545441627975,105,144,15026,31851,101184,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,shared_family_natural_mix,all_three_supported_families,60,5.839320659637451,5.382043829789528,6.313051000065529,7.4545416831970215,7.139271035749052,7.782580799071325,1.6152210235595703,1.0460615436395262,2.18573814129027,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,outdoor_cycling,60,7.866623215861135,7.333352577977116,8.431466749094435,7.697456633294379,7.388248860700564,8.020817424198414,-0.16916658256675632,-0.8061499436928043,0.44978124084714255,77,143,6097,25757,37856,470820,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,indoor_virtual_cycling,60,5.727096279462178,4.270294360778912,7.4843657104408035,6.399306384528556,5.574962412859768,7.33803020930081,0.6722101050663776,-1.2507877962435765,2.3793761151651625,18,41,234,2275,1523,26235,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,running,60,4.710611638697711,4.299858948230242,5.1422746741204035,5.706520791053772,5.050220345616341,6.469526067367253,0.9959091523560613,0.2203753858635753,1.8620642016479771,88,50,8431,3819,60542,34670,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,equal_family_standardized,macro_average_three_families,60,6.101443711340341,5.530475984944162,6.785728035164812,6.601094602958902,6.150262817776259,7.121534469097541,0.49965089161856113,-0.31745719040339315,1.2733338234480147,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,endomondo_session_mix_standardized,three_families_weighted_to_internal_sessions,60,6.0302200922883,5.678744948224282,6.396460945621832,6.5397986435814826,6.113679407959856,7.032896134886269,0.509578551293183,-0.05666859886964361,1.1097067845138475,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,goldencheetah_session_mix_standardized,three_families_weighted_to_external_sessions,60,7.335392422683691,6.863455271050268,7.832909967860058,7.366017249995294,7.064061267547511,7.685652033864469,0.030624827311602765,-0.5577566216957793,0.5919707743795966,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,reported_natural_mix,all_internal_test_vs_external_shared_three,180,7.483583450317383,6.947111487331845,8.034897266058694,10.205812454223633,9.795950446774562,10.612877844853534,2.72222900390625,2.0249456046923746,3.3827280725964486,105,144,15026,31851,101184,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,shared_family_natural_mix,all_three_supported_families,180,7.4248223304748535,6.889979285173691,7.968400706236179,10.205812454223633,9.80277385065953,10.625089609209034,2.7809901237487793,2.0900532780422094,3.4802752966268202,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,outdoor_cycling,180,9.509448599505735,8.83180895935965,10.289003358868992,10.524620589676436,10.127164176938958,10.933280311735592,1.0151719901707015,0.1436936168589671,1.803698962367734,77,143,6097,25757,37856,470820,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,indoor_virtual_cycling,180,7.9354200098249645,6.047090647901808,10.025056757245745,9.548711974446366,8.377912150737057,10.79057917220252,1.6132919646214017,-0.7481131105124953,3.8786941605946845,18,41,234,2275,1523,26235,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,running,180,6.027767421169714,5.533686036566065,6.541514393400912,7.713495402336121,6.833457042444118,8.723965641813487,1.6857279811664068,0.6391747349745469,2.8166074354834363,88,50,8431,3819,60542,34670,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,equal_family_standardized,macro_average_three_families,180,7.824212010166804,7.055332591399534,8.642511939074673,9.26227598881964,8.667478957541032,9.888646918030192,1.4380639786528366,0.4245028493876536,2.4169211357628915,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,endomondo_session_mix_standardized,three_families_weighted_to_internal_sessions,180,7.496010264284471,7.0549485589596115,7.966556386430391,8.903637046089521,8.328294286044756,9.539106116761774,1.4076267818050505,0.654859235322269,2.1768247401094065,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,goldencheetah_session_mix_standardized,three_families_weighted_to_external_sessions,180,8.979560826387496,8.368306563310892,9.665139632701457,10.11785536440561,9.727912141928998,10.513523888164393,1.1382945380181138,0.35267685926460196,1.8685318996867222,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,reported_natural_mix,all_internal_test_vs_external_shared_three,300,8.251067161560059,7.609684664947646,8.979097745588847,11.213605880737305,10.75949370322956,11.66877681331502,2.962538719177246,2.091616234968579,3.760677425331539,105,144,15026,31851,101184,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,shared_family_natural_mix,all_three_supported_families,300,8.199753761291504,7.540899333386467,8.945221469494012,11.213605880737305,10.759510305937795,11.677044367790222,3.013852119445801,2.144882876215837,3.829870296629449,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,outdoor_cycling,300,10.548978449462297,9.758381535322634,11.460553151185758,11.567116900757476,11.122582271636723,12.011392012759522,1.0181384512951794,0.008572316272897037,1.9379758530451117,77,143,6097,25757,37856,470820,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,indoor_virtual_cycling,300,11.584262450536093,8.685161015234495,15.163841758054845,11.404429313613146,9.908515420601498,13.107785563707353,-0.17983313692294622,-4.120767709416238,3.2011077191353468,18,41,234,2275,1523,26235,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,sport_matched,running,300,6.638240886005488,6.103038192218782,7.194778856241485,8.702949290275575,7.670710991530314,9.848226270498342,2.0647084042700863,0.870644651637584,3.336596996637966,88,50,8431,3819,60542,34670,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,equal_family_standardized,macro_average_three_families,300,9.590493928667959,8.488796163526253,10.883847053468898,10.558165168215398,9.808225971857572,11.380091674469176,0.9676712395474389,-0.550846749900039,2.3496475362429474,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,endomondo_session_mix_standardized,three_families_weighted_to_internal_sessions,300,8.331855299397734,7.8230888576371465,8.878799198513168,9.92873009548958,9.251392782763634,10.657995592453913,1.5968747960918463,0.7271547776182206,2.4809595837458214,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
0.20.1,0.11.0,goldencheetah_session_mix_standardized,three_families_weighted_to_external_sessions,300,10.154019557986404,9.425307119327801,10.986519576867579,11.212077173113641,10.769364070164524,11.663108452967196,1.0580576151272378,0.12626896565216028,1.9128966272470642,104,144,14762,31851,99921,531725,10000,user within each data source,"origin-within-session, session-within-user, equal-user mean",False
