model_version,protocol,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.9.0,unseen_user_train,unseen_user_validation,gru,60,6.218024253845215,7.527537822723389,0.41635921597480774,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_validation,gru,180,7.732940196990967,9.32140827178955,0.4823331832885742,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_validation,gru,300,8.248167991638184,9.89231014251709,0.3605625331401825,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_test,gru,60,5.859635829925537,7.1378703117370605,0.05851979926228523,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_test,gru,180,7.411548614501953,8.923349380493164,0.15429480373859406,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_test,gru,300,8.215645790100098,9.828197479248047,0.13533712923526764,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_frozen_external,gru,60,7.500540733337402,9.66097640991211,-0.021309830248355865,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_frozen_external,gru,180,10.25777530670166,12.880619049072266,-0.4771837592124939,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_frozen_external,gru,300,11.26040267944336,14.057282447814941,-0.540591299533844,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__outdoor_cycling,gru,60,7.73647928237915,9.962838172912598,-0.03181789070367813,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__outdoor_cycling,gru,180,10.567808151245117,13.275012016296387,-0.5010400414466858,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__outdoor_cycling,gru,300,11.607157707214355,14.502106666564941,-0.5726770758628845,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,gru,60,6.4900126457214355,8.298369407653809,-0.4556085467338562,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,gru,180,9.872933387756348,12.26320743560791,-0.8568506240844727,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,gru,300,11.773541450500488,14.49047565460205,-0.8802446722984314,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__running,gru,60,5.770437240600586,7.756641387939453,0.7574256062507629,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__running,gru,180,7.722392559051514,9.866650581359863,0.6883909106254578,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__running,gru,300,8.607782363891602,10.880531311035156,0.8110609650611877,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
