analysis_version,regime,horizon_seconds,cohort,users,sessions,origins,hierarchical_mae_bpm,mae_ci_lower_bpm,mae_ci_upper_bpm,common_origin_retention,added_origins_vs_common,mae_delta_vs_common_bpm,delta_ci_lower_bpm,delta_ci_upper_bpm
0.29.0,goldencheetah_frozen_external,60,common_three_target,144,31851,531725,7.929412012105656,7.574464001066401,8.309419043788166,0.9220227711750079,0,0.0,0.0,0.0
0.29.0,goldencheetah_frozen_external,60,horizon_specific,144,31851,576694,7.989678498706275,7.637306765372863,8.366061090346907,0.9220227711750079,44969,0.06026648660061884,0.021238686629519797,0.09696681318783773
0.29.0,goldencheetah_frozen_external,180,common_three_target,144,31851,531725,11.282177513374664,10.818695472347237,11.740914935077214,0.9492800842654003,0,0.0,0.0,0.0
0.29.0,goldencheetah_frozen_external,180,horizon_specific,144,31851,560135,11.380315454267635,10.922742513137793,11.852170372906775,0.9492800842654003,28410,0.09813794089297012,0.0642435373430209,0.13367782233476577
0.29.0,goldencheetah_frozen_external,300,common_three_target,144,31851,531725,12.569113924961153,12.067788371430957,13.072469641459312,0.9737197752693765,0,0.0,0.0,0.0
0.29.0,goldencheetah_frozen_external,300,horizon_specific,144,31851,546076,12.659785538875248,12.175141749474669,13.160448251379586,0.9737197752693765,14351,0.09067161391409506,0.06269736726895861,0.12204594952284668
0.29.0,unseen_user_test,60,common_three_target,105,15026,101184,6.559022520910066,6.0000434993241685,7.17375086861535,0.8813706958877381,0,0.0,0.0,0.0
0.29.0,unseen_user_test,60,horizon_specific,105,15026,114803,6.50701165169882,5.979531872802457,7.081981549369913,0.8813706958877381,13619,-0.0520108692112462,-0.15185708800792078,0.0436386253882573
0.29.0,unseen_user_test,180,common_three_target,105,15026,101184,8.626678339409843,7.906448863224904,9.37761656278202,0.9261523816497639,0,0.0,0.0,0.0
0.29.0,unseen_user_test,180,horizon_specific,105,15026,109252,8.724018189732234,8.023752286806008,9.479639219906415,0.9261523816497639,8068,0.0973398503223919,0.027777835685492778,0.15911471878867078
0.29.0,unseen_user_test,300,common_three_target,105,15026,101184,9.599249692307811,8.715449270655903,10.671420943589574,0.9727453638277622,0,0.0,0.0,0.0
0.29.0,unseen_user_test,300,horizon_specific,105,15026,104019,9.684700572435048,8.807537663206633,10.767689836568186,0.9727453638277622,2835,0.08545088012723667,0.052169157510798904,0.12461851996203456
0.29.0,within_user_temporal_test,60,common_three_target,948,16012,104144,6.725942016046082,6.505318784888833,6.949973822795341,0.8778818352707134,0,0.0,0.0,0.0
0.29.0,within_user_temporal_test,60,horizon_specific,948,16012,118631,6.701466371994118,6.486655120012752,6.921580483692121,0.8778818352707134,14487,-0.024475644051963563,-0.06725916115577851,0.019167074983909838
0.29.0,within_user_temporal_test,180,common_three_target,948,16012,104144,8.756677617851937,8.484782905094066,9.041133710759441,0.9239996451069116,0,0.0,0.0,0.0
0.29.0,within_user_temporal_test,180,horizon_specific,948,16012,112710,8.877031889919683,8.605991312708648,9.162386478054977,0.9239996451069116,8566,0.12035427206774685,0.06916354018795047,0.17548962756331815
0.29.0,within_user_temporal_test,300,common_three_target,948,16012,104144,9.58748605274797,9.29277169145509,9.889665517290517,0.9703520116281237,0,0.0,0.0,0.0
0.29.0,within_user_temporal_test,300,horizon_specific,948,16012,107326,9.699303879978595,9.412019178759287,9.994862071799156,0.9703520116281237,3182,0.11181782723062561,0.05844269419683168,0.17316346331783572
