analysis_version,analysis_status,regime,information_mode,held_sport_family,horizon_seconds,seeds,full_sport_mae_bpm,held_sport_mae_bpm,held_minus_full_delta_mae_bpm,ci_low_bpm,ci_high_bpm,users,sessions,origins,users_with_higher_held_error_percent,bootstrap_replicates,bootstrap_unit
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,outdoor_cycling,60,3,7.8534040451049805,8.124692916870117,0.2712888648467405,0.10418482593974317,0.4156993722627786,77,6097,37856,83.11688311688312,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,outdoor_cycling,180,3,9.548664093017578,9.913368225097656,0.3647044284825588,0.18083809210628563,0.5480932228188574,77,6097,37856,79.22077922077922,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,outdoor_cycling,300,3,10.572444915771484,10.92198657989502,0.34954314686164456,0.16188788478407865,0.5244453372923633,77,6097,37856,81.81818181818183,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,indoor_virtual_cycling,60,3,5.621640205383301,5.892449378967285,0.2708096583115144,-0.1010972891707853,0.5916197555902828,18,234,1523,72.22222222222221,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,indoor_virtual_cycling,180,3,8.004843711853027,8.049083709716797,0.0442396824558576,-0.5116053013855385,0.5130451163690949,18,234,1523,50.0,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,indoor_virtual_cycling,300,3,11.793868064880371,11.501886367797852,-0.2919813400755326,-0.94595079469598,0.2588468628832032,18,234,1523,61.111111111111114,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,running,60,3,4.731561660766602,5.084645748138428,0.3530840259733271,0.22222787019193427,0.5587813649253802,88,8431,60542,89.77272727272727,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,running,180,3,6.019256591796875,6.498267650604248,0.4790107032114809,0.2762345126036301,0.7940597206375307,88,8431,60542,88.63636363636364,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,running,300,3,6.649794101715088,7.240209579467773,0.5904152238482229,0.4187967528806026,0.8377448623644091,88,8431,60542,88.63636363636364,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,walking_hiking,60,3,6.480998992919922,6.511176586151123,0.030177274914948565,-0.3201163870086403,0.3647574182991918,19,96,428,57.89473684210527,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,walking_hiking,180,3,7.021636962890625,7.476578712463379,0.4549417436907166,0.04339958101903139,0.8574510080837888,19,96,428,73.68421052631578,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,walking_hiking,300,3,8.011944770812988,9.151028633117676,1.1390829451970363,0.47894159705182043,1.7832331504280625,19,96,428,73.68421052631578,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,strength_cross_training,60,3,9.482470512390137,9.660179138183594,0.17770917385350912,-0.15901251010014675,0.5372774316108552,20,112,503,70.0,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,strength_cross_training,180,3,12.18891429901123,12.522307395935059,0.3333926144987345,-0.11556096154265104,0.834411828834563,20,112,503,60.0,10000,user_after_within_session_aggregation_and_seed_averaging
0.27.0,post_hoc_matched_origin_sensitivity,joint_unseen_user_sport,history_masked,strength_cross_training,300,3,11.682940483093262,12.267951965332031,0.5850120792165399,0.10294123396743089,1.1524659666465595,20,112,503,60.0,10000,user_after_within_session_aggregation_and_seed_averaging
