analysis_version,scope,seed,regime,mode,horizon_seconds,nominal_coverage,origin_pooled_adjustment_bpm,balanced_adjustment_bpm,delta_adjustment_bpm,delta_picp,delta_picp_ci_low,delta_picp_ci_high,delta_absolute_coverage_error,delta_absolute_coverage_error_ci_low,delta_absolute_coverage_error_ci_high,delta_mean_interval_width_bpm,delta_mean_interval_width_ci_low_bpm,delta_mean_interval_width_ci_high_bpm,evaluation_users,bootstrap_replicates,bootstrap_unit,calibration_thresholds_fixed,optimization_seed_variability_in_ci
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,60,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,180,0.5,0.0,0.127532958984375,0.127532958984375,0.013756641485721088,0.011762162408404553,0.016013643318645146,-0.013756641485721088,-0.015836360819987984,-0.004337304489111125,0.254709594966009,0.254020931056214,0.25506473183631867,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,300,0.5,0.0,0.0612030029296875,0.0612030029296875,0.006341569240886247,0.005043476181053695,0.007946581086384337,-0.006341569240886247,-0.007895373780908996,-0.004722039797229949,0.12221988669345407,0.12186451533421479,0.12240543663501668,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,60,0.8,0.0,0.208984375,0.208984375,0.011983791061414006,0.010638608165284941,0.013378936609150899,-0.0003848994199957545,-0.012590760162456369,0.01223911537985963,0.41704529301441084,0.4153424830509159,0.4179449030713164,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,180,0.8,0.0,0.377349853515625,0.377349853515625,0.016742517442166704,0.014964270220096224,0.018603173011591884,-0.010041550762400542,-0.0179441387019718,0.010115011784196142,0.7524772412192853,0.7483349838272242,0.7546632413629801,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,300,0.8,0.0,0.17578125,0.17578125,0.0066495068305902905,0.005717129175748218,0.007683289450242574,-0.0066495068305902905,-0.007617617435044954,0.0029700480906586354,0.3503953784860947,0.34820735737253417,0.35154475724891654,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,60,0.9,0.0390625,0.303619384765625,0.264556884765625,0.00779109063570782,0.006490291936536658,0.009188431665344212,0.0016324592077908706,-0.00825192385218958,0.008235827432543271,0.5272647583429872,0.5239720775932201,0.5290440067673939,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,180,0.9,0.0,0.40234375,0.40234375,0.011203421441949968,0.008917419967271172,0.014033519993799636,-0.007667787301423368,-0.013616090341515142,0.005925531218852272,0.8011664952842565,0.7948434830088384,0.804582511473271,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,history_informed,300,0.9,0.0,0.44921875,0.44921875,0.008487066428031986,0.007045037409109528,0.010235781317589879,-0.008487066428031986,-0.01014475314240056,0.0007034021858974757,0.8941350829821175,0.8862363862329328,0.8983189607905933,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,zero_history,60,0.5,0.0,0.0367889404296875,0.0367889404296875,0.004736757782306145,0.0038765219223248063,0.005676752205382663,-0.004736757782306145,-0.005647199561953316,-0.0003109697691279148,0.07353079570327026,0.0734444539398531,0.07357753870033257,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,goldencheetah_frozen_external,zero_history,60,0.5,0.0,0.0367889404296875,0.0367889404296875,0.0036027711414951535,0.003248541887572691,0.003959661031191134,-0.0036027711414951535,-0.0039561277029911595,-0.003226097923081332,0.07357608751285127,0.07357355913817187,0.07357764779727831,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,zero_history,180,0.5,0.0,0.234375,0.234375,0.02338547030969118,0.02071562291683756,0.0262445399809429,-0.02338547030969118,-0.025283477403556714,0.0043736859911559225,0.4684983145105335,0.46802948700269725,0.4687478201729878,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,goldencheetah_frozen_external,zero_history,180,0.5,0.0,0.234375,0.234375,0.015493977398145231,0.014426236774838754,0.016662883380722047,-0.015493977398145231,-0.016662883380722047,-0.014426236774838754,0.4687440785761279,0.46873856156700155,0.4687481589682663,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,zero_history,300,0.5,0.0,0.10333251953125,0.10333251953125,0.007856872928107272,0.006691267720948009,0.009066280447309793,-0.007856872928107272,-0.009030146432254384,-0.0015266018022637373,0.20656737350916998,0.2063870918735411,0.20666407800855957,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,goldencheetah_frozen_external,zero_history,300,0.5,0.0,0.10333251953125,0.10333251953125,0.006017534426430715,0.005532206404215674,0.006528911043754149,-0.006017534426430715,-0.006528911043754149,-0.005532206404215674,0.2066597983176237,0.2066528057881226,0.20666406934847042,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,unseen_user_test,zero_history,60,0.8,0.0,0.337890625,0.337890625,0.019853927315922726,0.017932620321100233,0.02184518693205053,-0.004853796266023003,-0.02036667282400558,0.01686081671680893,0.6747391722495593,0.6729112936303687,0.6757336663280863,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260722,goldencheetah_frozen_external,zero_history,60,0.8,0.0,0.337890625,0.337890625,0.014750896294064675,0.013915263597527183,0.01563990061074102,-0.014750896294064675,-0.015637793583914344,-0.013802513759946584,0.6757441880442059,0.6757119403901232,0.6757695626663505,144,10000,evaluation user,True,False
