analysis_version,source_experiment_version,seed,regime,mode,horizon_seconds,nominal_coverage,calibration_method,conformal_adjustment_bpm,picp,absolute_coverage_error,mean_interval_width_bpm,calibration_users,calibration_sessions,calibration_origins,evaluation_users,evaluation_sessions,evaluation_origins,evaluation_aggregation,formal_equal_user_coverage_guarantee_claimed,external_target_data_used_for_calibration
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,60,0.5,origin_pooled_finite_sample_cqr,0.0,0.4888996781630578,0.011100321836942206,8.994180455252863,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,60,0.5,equal_user_equal_session_empirical,0.0,0.4888996781630578,0.011100321836942206,8.994180455252863,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,180,0.5,origin_pooled_finite_sample_cqr,0.0,0.4792646160465541,0.020735383953445874,11.117944228927733,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,180,0.5,equal_user_equal_session_empirical,0.127532958984375,0.4930212575322752,0.006978742467724786,11.372653823893742,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,300,0.5,origin_pooled_finite_sample_cqr,0.0,0.4813614117670946,0.018638588232905373,12.018022490904006,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,300,0.5,equal_user_equal_session_empirical,0.0612030029296875,0.4877029810079809,0.012297018992019126,12.14024237759746,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,60,0.8,origin_pooled_finite_sample_cqr,0.0,0.7938156547592952,0.0061843452407048805,17.736312104283474,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,60,0.8,equal_user_equal_session_empirical,0.208984375,0.8057994458207092,0.005799445820709126,18.153357397297885,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,180,0.8,origin_pooled_finite_sample_cqr,0.0,0.7866079658977164,0.013392034102283623,22.080667389851676,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,180,0.8,equal_user_equal_session_empirical,0.377349853515625,0.8033504833398831,0.0033504833398830813,22.83314463107096,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,300,0.8,origin_pooled_finite_sample_cqr,0.0,0.7838241537704457,0.01617584622955437,23.969228053401867,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,300,0.8,equal_user_equal_session_empirical,0.17578125,0.790473660601036,0.009526339398964079,24.319623431887962,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,60,0.9,origin_pooled_finite_sample_cqr,0.0390625,0.8969206842860415,0.003079315713958475,23.828300599886663,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,60,0.9,equal_user_equal_session_empirical,0.303619384765625,0.9047117749217494,0.004711774921749345,24.35556535822965,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,180,0.9,origin_pooled_finite_sample_cqr,0.0,0.8905643956283134,0.009435604371686668,29.746550623696994,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
0.24.0,0.22.0,20260722,unseen_user_test,history_informed,180,0.9,equal_user_equal_session_empirical,0.40234375,0.9017678170702633,0.0017678170702633,30.54771711898125,97,12835,85247,105,15026,101184,"origin-within-session, session-within-user, equal-user mean",False,False
