analysis_version,source_experiment_version,held_sport_family,regime,horizon_seconds,main_model,main_mode,comparator_model,delta_definition,main_mae_bpm,comparator_mae_bpm,delta_mae_bpm,ci_low_bpm,ci_high_bpm,ci_excludes_zero,users,bootstrap_replicates,bootstrap_seed,matched_seeds,n_matched_seeds,joint_support_caution_lt25_users,aggregation,inference,analysis_role
0.25.0,0.21.0,outdoor_cycling,same_user_unseen_sport,60,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,8.115972896590367,8.551263737313247,-0.43529084072287966,-0.5446958920339061,-0.3171288844880211,True,452,10000,3491280649,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,outdoor_cycling,same_user_unseen_sport,180,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,9.749220661872753,9.856109923844956,-0.10688926197220268,-0.2116453860921332,-0.0029433647832748404,True,452,10000,2205173669,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,outdoor_cycling,same_user_unseen_sport,300,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,10.477050162394274,10.614074400082277,-0.1370242376880041,-0.2504444875980016,-0.02337891371047932,True,452,10000,1173749170,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,outdoor_cycling,joint_user_sport,60,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,8.13659359154243,8.791083255157087,-0.6544896636146558,-0.9360842343700272,-0.3680850399790183,True,77,10000,2524317922,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift
0.25.0,0.21.0,outdoor_cycling,joint_user_sport,180,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,9.951100509581241,10.036073592635502,-0.08497308305426048,-0.2818911159314103,0.1080825987590354,False,77,10000,44921638,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift
0.25.0,0.21.0,outdoor_cycling,joint_user_sport,300,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,10.880523397454196,11.183748132863085,-0.3032247354088869,-0.7255230344103074,-0.008262790110668555,True,77,10000,4192212209,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift
0.25.0,0.21.0,indoor_virtual_cycling,same_user_unseen_sport,60,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,6.198835444265183,7.073691751592798,-0.874856307327615,-1.1954220564447187,-0.5519445166605313,True,118,10000,402072112,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,indoor_virtual_cycling,same_user_unseen_sport,180,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,8.58475642179999,9.031262384329356,-0.44650596252936414,-0.693724600001528,-0.2095889777275784,True,118,10000,3280184528,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,indoor_virtual_cycling,same_user_unseen_sport,300,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,9.028370217023129,9.441018668159924,-0.41264845113679643,-0.6975286842957218,-0.13920023128179126,True,118,10000,395005408,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,indoor_virtual_cycling,joint_user_sport,60,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,5.9249400165536,7.804366783872873,-1.879426767319273,-3.4300992007147557,-0.5262224569691875,True,18,10000,1733857077,20260722;20260723;20260724,3,True,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift_lt25_users
0.25.0,0.21.0,indoor_virtual_cycling,joint_user_sport,180,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,8.123382426202458,9.65750339036017,-1.534120964157713,-2.9541211135777745,-0.39903005661016766,True,18,10000,3560042246,20260722;20260723;20260724,3,True,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift_lt25_users
0.25.0,0.21.0,indoor_virtual_cycling,joint_user_sport,300,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,11.141913445449383,11.005435439945959,0.13647800550342465,-1.4090485805449415,1.955414469357971,False,18,10000,1025621168,20260722;20260723;20260724,3,True,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift_lt25_users
0.25.0,0.21.0,running,same_user_unseen_sport,60,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,5.2585326617345425,5.8672882094666985,-0.6087555477321546,-0.6761239974962175,-0.545333553197612,True,448,10000,1288561080,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,running,same_user_unseen_sport,180,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,6.888788297523803,6.952807860071185,-0.06401956254738327,-0.1178918895762061,-0.008951610717286541,True,448,10000,195933804,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,running,same_user_unseen_sport,300,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,7.643518123801948,7.540804867582289,0.10271325621965942,0.04458094039966703,0.16238551156130643,True,448,10000,3360276908,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,post_hoc_sensitivity
0.25.0,0.21.0,running,joint_user_sport,60,history_quantile_tcn,history_informed,aligned_ewma_alpha_0_1,MAE(main) - MAE(comparator); negative favors main,5.1012876174495485,5.506445107980412,-0.40515749053086353,-0.6048433513985728,-0.10620538454544563,True,88,10000,1618748121,20260722;20260723;20260724,3,False,origin within session; session within user; paired user effect averaged across matched seeds; equal-user mean,95% percentile user bootstrap CI over seed-averaged paired user MAE differences,exploratory_joint_shift
