baseline_version,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.5.0,goldencheetah_external__indoor_virtual_cycling,ewma,60,7.741129301238161,9.589565340878957,-1.9870480700013131,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,ewma,180,10.561784280101591,13.12319138154191,-2.2565438795573773,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,ewma,300,12.577223822849712,15.480677896512578,-2.482965876758089,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,linear_trend,60,9.406977309888712,11.978455779826806,0.332670155005733,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,linear_trend,180,15.536925597596248,19.48890611598735,1.8788303777673194,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,linear_trend,300,20.96463020738939,25.975361410878826,3.4422338797193133,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,persistence,60,6.509329610360524,8.498687623535936,-0.901649867997176,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,persistence,180,10.413339088479379,13.250596235082407,-1.1711456775532407,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__indoor_virtual_cycling,persistence,300,12.439852127885821,15.579064110339662,-1.397567674753952,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,ewma,60,8.877795548017012,11.354895065523026,-1.009420258260259,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,ewma,180,11.198933507732908,14.199937774996073,-1.4674710198988423,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,ewma,300,12.31851783632847,15.556196672067106,-1.544535715351628,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,linear_trend,60,11.140562564801826,14.3175954488837,0.7871275362154221,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,linear_trend,180,17.83376948626034,22.580006929906048,1.7250369784631086,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,linear_trend,300,23.56358960899312,29.568279997450208,3.020220048262413,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,persistence,60,8.178666855937434,10.8252627975153,-0.29438354061575095,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,persistence,180,11.614789294122588,15.02196601136987,-0.7524343022543343,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__outdoor_cycling,persistence,300,12.972910503664119,16.542104254754538,-0.8294989977071202,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,ewma,60,7.058922030958497,9.133580599352273,-1.2319193213534152,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,ewma,180,8.494290560909748,10.788878617491868,-2.232855747799381,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,ewma,300,9.581046793643953,12.05701029190669,-2.3186592315472554,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,linear_trend,60,9.233966940430188,11.99530610454545,1.4945657611346979,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,linear_trend,180,14.642836381788918,18.5074408951905,2.5001499937536558,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,linear_trend,300,20.030964198518195,25.169064225540254,4.409117128657744,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,persistence,60,5.924066486687492,8.070124932554691,-0.1912509136440468,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,persistence,180,8.408217177919196,10.836098625629493,-1.1921873400900125,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_external__running,persistence,300,9.658010701480942,12.169939372039096,-1.2779908238378872,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,ewma,60,8.669707394295367,11.064803164747238,-1.0750823951336732,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,ewma,180,10.910898954873455,13.799130367244304,-1.5486674703725765,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,ewma,300,12.010545517378072,15.131394057915271,-1.6494848279127656,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,linear_trend,60,10.897116274474481,13.980709217929245,0.8449015212746319,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,linear_trend,180,17.400417026081787,22.041102078917806,1.8489036936917804,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,linear_trend,300,23.011997130967114,28.900551769897813,3.195085284730541,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,persistence,60,7.929412012105658,10.49035533409565,-0.32299446671918214,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,persistence,180,11.282177513374664,14.570748339983176,-0.7965795419580854,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,goldencheetah_frozen_external,persistence,300,12.569113924961153,16.012250089940977,-0.8973968994982745,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,ewma,60,6.994319167720834,8.39993364445694,-0.7106071787189004,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,ewma,180,8.173349892482696,9.808204534105109,-1.075165438984031,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,ewma,300,8.943921642247204,10.679166125718465,-1.0807885946976306,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,linear_trend,60,8.981448664478506,10.78903539204745,0.6868358615230918,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,linear_trend,180,13.549691484384342,16.182426357827712,1.3640196110454732,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,linear_trend,300,17.975289225199315,21.404497879181136,2.3550387542218556,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,persistence,60,6.731763267181259,8.22214437211869,-0.06892119236702698,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,persistence,180,8.757798385797589,10.64680400446379,-0.4334794526321577,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,internal_temporal_test,persistence,300,9.577112618361458,11.510894122206999,-0.4391026083457571,948,16020,104188,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,ewma,60,7.804363342502957,9.173920401735637,-0.8032269862924707,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
0.5.0,joint_user_sport__indoor_virtual_cycling,ewma,180,9.657502181517364,11.38157236342713,-1.1506002935216533,18,234,1523,"origin-within-session, session-within-user, equal-user mean"
