model_version,regime,mode,horizon_seconds,calibrated,pinball_loss,weighted_interval_score,normalized_90_interval_width,mean_user_spearman_width_absolute_error,users_with_defined_spearman,users,sessions,origins
0.11.0,unseen_user_validation,zero_history,60,False,1.855573058128357,3.711146116256714,0.18421103060245514,0.36442481627775464,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,False,2.3520820140838623,4.704164028167725,0.22772254049777985,0.29395092912452614,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,False,2.4926717281341553,4.9853434562683105,0.24664939939975739,0.28224202848528585,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,True,1.855573058128357,3.711061477661133,0.18464593589305878,0.36442499069436574,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,True,2.3520820140838623,4.704164028167725,0.22772254049777985,0.29395092912452614,127,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,True,2.4926717281341553,4.9853434562683105,0.24664939939975739,0.28224202848528585,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,False,1.8297384977340698,3.6594769954681396,0.18552568554878235,0.35884815252181185,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,False,2.310208320617676,4.620416641235352,0.22942307591438293,0.29417484457310555,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,False,2.4397220611572266,4.879444122314453,0.24701955914497375,0.27473434007966563,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,True,1.8297384977340698,3.6594178676605225,0.18608486652374268,0.3588481401701706,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,True,2.310208320617676,4.620416641235352,0.22942307591438293,0.29417484457310555,127,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,True,2.4397220611572266,4.879444122314453,0.24701955914497375,0.27473434007966563,127,127,19062,123370
0.11.0,unseen_user_test,zero_history,60,False,1.7426977157592773,3.4853954315185547,0.16780905425548553,0.36201250807887536,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,False,2.231893539428711,4.463787078857422,0.210025355219841,0.3339689136834524,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,False,2.4939498901367188,4.9878997802734375,0.22881175577640533,0.2948438803919777,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,True,1.7426977157592773,3.4852969646453857,0.16823320090770721,0.36201145229180703,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,True,2.231893539428711,4.463787078857422,0.210025355219841,0.3339689136834524,104,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,True,2.4939498901367188,4.9878997802734375,0.22881175577640533,0.2948438803919777,104,105,15026,101184
