analysis_version,source,metric,unit,sessions,mean,sd,p05,p25,median,p75,p95,inferential,note
0.21.0,Endomondo_unseen_user_test,duration_minutes,minutes,15026,67.3607025600071,64.5924807362468,19.466666666666665,37.454166666666666,57.625,81.5625,125.07916666666667,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,valid_hr_coverage,proportion,15026,0.9996149712389826,0.005595712247094827,1.0,1.0,1.0,1.0,1.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,median_positive_gap_seconds,seconds,15026,7.077698655663516,3.082434122750886,3.0,5.0,7.0,9.0,13.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,max_positive_gap_seconds,seconds,15026,469.50685478503925,3303.0639439601805,8.0,14.0,24.0,81.0,833.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,causal_grid_hr_observed_percent,percent,15026,87.98130945447677,15.552243805424126,58.804267302165336,81.76830143326097,93.83116883116882,99.37106918238993,100.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,causal_grid_speed_observed_percent,percent,15026,87.84474072811918,15.60294475076748,58.50983796296296,81.65520837767656,93.75,99.20357852882704,100.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,causal_grid_altitude_observed_percent,percent,15026,87.98712495859974,15.597661110391464,58.78136200716846,81.79831460674157,93.85653850939406,99.375,100.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,Endomondo_unseen_user_test,evaluation_origins_per_session,origins/session,15026,6.73392785837881,3.8843192897356174,1.0,4.0,6.0,10.0,13.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,duration_minutes,minutes,31851,109.12315438552426,96.70116867444233,21.4,49.983333333333334,80.06666666666666,139.14166666666665,286.3416666666667,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,valid_hr_coverage,proportion,31851,0.9972417112444711,0.014513167467015005,0.9904737206998089,0.9998836328645653,1.0,1.0,1.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,median_positive_gap_seconds,seconds,31851,1.0575961194311012,0.4560799890074217,1.0,1.0,1.0,1.0,1.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,max_positive_gap_seconds,seconds,31851,347.5019071614706,1776.6761766223115,1.0,1.0,5.0,156.0,1649.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,causal_grid_hr_observed_percent,percent,31851,94.8165253759595,10.610484127410079,73.13683761825689,94.82614702665362,99.63369963369964,100.0,100.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,causal_grid_speed_observed_percent,percent,31851,94.62657943267914,10.729107769607333,72.6982716847036,94.8905109489051,99.31798806479114,99.73118279569893,99.89059080962801,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,causal_grid_altitude_observed_percent,percent,31851,88.30165077898899,25.974984448558825,0.0,91.79612775898659,99.40397350993378,100.0,100.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
0.21.0,GoldenCheetah_frozen_external,evaluation_origins_per_session,origins/session,31851,16.694138331606542,13.941368925740232,2.0,8.0,13.0,22.0,44.0,False,unweighted selected-session distribution; sessions are not treated as independent inferential units
