analysis_version,source_model_version,held_sport_code,held_sport_family,regime,mode,horizon_seconds,mae_bpm,mae_ci_low_bpm,mae_ci_high_bpm,users,sessions,origins,support_caution_lt25_users,bootstrap_replicates,bootstrap_unit,aggregation
0.19.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,60,8.055103302001953,7.802998333826529,8.317377224775543,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,180,9.686504364013672,9.395279105640618,9.986168943991704,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,300,10.399435043334961,10.061544371033664,10.74376313634942,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,60,8.127265930175781,7.622560529739825,8.652317188622114,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,180,9.900252342224121,9.158474646141002,10.730858561977163,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,300,10.901642799377441,10.098995091853203,11.785954437008153,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,2,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,history_informed,60,6.113548278808594,5.4772685054247665,6.803838678335739,118,1571,11591,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,2,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,history_informed,180,8.570405006408691,7.700465843788648,9.535896343447394,118,1571,11591,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,2,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,history_informed,300,8.960474014282227,8.107714212344865,9.874520106285305,118,1571,11591,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,60,5.918801784515381,4.557394541303317,7.751782271928257,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,180,7.943546772003174,5.9799506346384685,10.025191580586961,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,2,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,300,11.098682403564453,8.405914788775974,14.41941752632459,18,234,1523,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,3,running,unseen_sport__running,history_informed,60,5.302558898925781,5.088068636932543,5.532728484825098,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,3,running,unseen_sport__running,history_informed,180,6.942240238189697,6.685739340540022,7.208682785169886,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,3,running,unseen_sport__running,history_informed,300,7.705491065979004,7.4547271388582885,7.965825886199517,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,3,running,joint_user_sport__running,history_informed,60,5.16094970703125,4.666992468861016,5.743568123606118,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,3,running,joint_user_sport__running,history_informed,180,6.6317973136901855,6.005712307650935,7.352530877766284,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,3,running,joint_user_sport__running,history_informed,300,7.405537128448486,6.797272926907648,8.092704091424292,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,history_informed,60,5.616793632507324,5.067750779228906,6.221018166860772,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,history_informed,180,7.645212650299072,6.905818577007287,8.445858494026792,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,history_informed,300,8.813180923461914,7.789353945892718,10.15077349729836,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,history_informed,60,6.407408714294434,4.552933722107034,8.539765307150388,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,history_informed,180,7.226999282836914,5.2286584483949765,9.489686558277983,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,history_informed,300,8.737188339233398,7.043041537153093,10.55320538878441,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,history_informed,60,9.347567558288574,8.205862618111214,10.636007252897857,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,history_informed,180,10.637075424194336,9.435427189154446,12.008892814786929,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,history_informed,300,12.02407169342041,10.586463906911185,13.679503337757765,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,60,9.82282829284668,6.803327415585518,13.509447785019875,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,180,12.555477142333984,8.63197289019823,17.02844053655863,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.19.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,300,12.272851943969727,8.835174991488456,16.859842626452444,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
