model_version,held_sport_family,regime,mode,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,60,8.055103302001953,9.536754608154297,0.0314457863569259,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,180,9.686504364013672,11.370018005371094,0.3622321784496307,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,300,10.39943504333496,12.176397323608398,0.8441249132156372,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,zero_history,60,8.050267219543457,9.53062629699707,0.5916990041732788,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,zero_history,180,9.709138870239258,11.414590835571287,1.2042402029037476,452,40943,236748
0.12.0,outdoor_cycling,unseen_sport__outdoor_cycling,zero_history,300,10.478774070739746,12.276205062866213,1.843832015991211,452,40943,236748
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,60,8.127265930175781,9.680572509765623,-0.4037103652954101,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,180,9.90025234222412,11.61129665374756,0.3936961889266968,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,300,10.90164279937744,12.841767311096191,0.4570274949073791,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,zero_history,60,8.103433609008789,9.652471542358398,0.0405318140983581,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,zero_history,180,9.865435600280762,11.591317176818848,1.0455305576324463,77,6097,37856
0.12.0,outdoor_cycling,joint_user_sport__outdoor_cycling,zero_history,300,10.933143615722656,12.925569534301758,1.2664538621902466,77,6097,37856
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,history_informed,60,6.113548278808594,7.406683921813965,-0.3599621057510376,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,history_informed,180,8.570405006408691,10.266237258911133,-0.3647767603397369,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,history_informed,300,8.960474014282227,10.70985507965088,0.1203095838427543,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,zero_history,60,6.070065975189209,7.37145471572876,0.268448531627655,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,zero_history,180,8.418294906616211,10.171792984008787,0.8308529853820801,118,1571,11591
0.12.0,indoor_virtual_cycling,unseen_sport__indoor_virtual_cycling,zero_history,300,8.894430160522461,10.730876922607422,1.5012106895446775,118,1571,11591
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,60,5.918801784515381,7.292823791503906,-0.5997307896614075,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,180,7.943546772003174,9.736242294311523,-0.7014598250389099,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,history_informed,300,11.098682403564451,12.839506149291992,1.1398369073867798,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,zero_history,60,5.848422527313232,7.216748714447021,0.0489798933267593,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,zero_history,180,7.825667381286621,9.683737754821776,0.5114226341247559,18,234,1523
0.12.0,indoor_virtual_cycling,joint_user_sport__indoor_virtual_cycling,zero_history,300,11.465617179870604,13.065597534179688,2.5061910152435303,18,234,1523
0.12.0,running,unseen_sport__running,history_informed,60,5.302558898925781,6.482794761657715,-0.4737121164798736,448,44652,308648
0.12.0,running,unseen_sport__running,history_informed,180,6.942240238189697,8.4017972946167,-1.1649134159088137,448,44652,308648
0.12.0,running,unseen_sport__running,history_informed,300,7.705491065979004,9.242158889770508,-1.9762952327728271,448,44652,308648
0.12.0,running,unseen_sport__running,zero_history,60,5.27132511138916,6.4505133628845215,-0.2711956799030304,448,44652,308648
0.12.0,running,unseen_sport__running,zero_history,180,6.861955165863037,8.322385787963867,-0.8534148335456848,448,44652,308648
0.12.0,running,unseen_sport__running,zero_history,300,7.550454616546631,9.089728355407717,-1.5570590496063232,448,44652,308648
0.12.0,running,joint_user_sport__running,history_informed,60,5.16094970703125,6.357654094696045,-0.883405864238739,88,8431,60542
0.12.0,running,joint_user_sport__running,history_informed,180,6.6317973136901855,8.03879165649414,-1.400140643119812,88,8431,60542
0.12.0,running,joint_user_sport__running,history_informed,300,7.405537128448486,8.886615753173828,-2.0882718563079834,88,8431,60542
0.12.0,running,joint_user_sport__running,zero_history,60,5.090951442718506,6.297775745391846,-0.6703599691390991,88,8431,60542
0.12.0,running,joint_user_sport__running,zero_history,180,6.511421203613281,7.918872356414795,-1.0485796928405762,88,8431,60542
0.12.0,running,joint_user_sport__running,zero_history,300,7.243979930877685,8.727560997009277,-1.6374698877334597,88,8431,60542
0.12.0,walking_hiking,unseen_sport__walking_hiking,history_informed,60,5.616793632507324,6.755321025848389,0.4268904030323028,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,history_informed,180,7.645212650299072,8.962946891784668,1.639319896697998,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,history_informed,300,8.813180923461914,10.067909240722656,2.6159355640411377,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,zero_history,60,5.67348575592041,6.81713342666626,0.2934214770793915,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,zero_history,180,7.639893531799316,8.965659141540527,1.6755563020706177,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,zero_history,300,8.685125350952148,9.95345687866211,2.497437000274658,144,2063,10149
0.12.0,walking_hiking,joint_user_sport__walking_hiking,history_informed,60,6.407408714294434,7.56563138961792,1.0654726028442385,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,history_informed,180,7.226999282836914,8.507643699645996,1.0479001998901367,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,history_informed,300,8.737188339233398,9.86033535003662,2.8549067974090576,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,zero_history,60,6.434490203857422,7.623027801513672,1.0847525596618652,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,zero_history,180,7.275234699249268,8.551846504211426,1.3616775274276731,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,zero_history,300,8.832013130187988,9.953712463378906,3.0850048065185547,19,96,428
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,history_informed,60,9.347567558288574,10.80797290802002,1.0503180027008057,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,history_informed,180,10.637075424194336,12.23127555847168,1.602729082107544,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,history_informed,300,12.02407169342041,13.643183708190918,1.698154330253601,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,zero_history,60,9.363370895385742,10.830368041992188,1.83090615272522,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,zero_history,180,10.708552360534668,12.310850143432615,2.860755443572998,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,zero_history,300,12.081472396850586,13.803196907043455,3.142483711242676,106,587,3189
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,60,9.82282829284668,11.700895309448242,3.552647113800049,20,112,503
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,180,12.555477142333984,14.160797119140623,5.855316162109375,20,112,503
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,300,12.272851943969728,13.746740341186523,4.9236159324646,20,112,503
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,zero_history,60,10.163052558898926,12.041275024414062,4.341094017028809,20,112,503
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,zero_history,180,13.233741760253906,14.847917556762695,7.325917720794678,20,112,503
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,zero_history,300,12.88726806640625,14.359556198120115,6.612510681152344,20,112,503
