analysis_version,source_model_version,held_sport_code,held_sport_family,regime,mode,horizon_seconds,nominal_coverage,calibrated,conformal_adjustment_bpm,picp,picp_ci_low,picp_ci_high,absolute_coverage_error,absolute_coverage_error_ci_low,absolute_coverage_error_ci_high,mean_interval_width_bpm,mean_interval_width_ci_low,mean_interval_width_ci_high,users,sessions,origins,support_caution_lt25_users,bootstrap_replicates,bootstrap_unit,aggregation
0.17.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,60,0.9,True,0.51953125,0.8517031669616699,0.8427797359900664,0.8601905971633649,0.0482968330383301,0.039809402836635095,0.057220264009933595,29.5341796875,28.983058697354476,30.088878385788572,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,180,0.9,True,0.4187469482421875,0.8713454604148865,0.8638743151226534,0.8785866691112783,0.028654539585113548,0.021413330888721778,0.036125684877346596,37.249534606933594,36.64837033695879,37.854716154537364,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,history_informed,300,0.9,True,0.46224212646484375,0.8743406534194946,0.8666129783768438,0.8818656384829531,0.025659346580505393,0.01813436151704691,0.03338702162315625,40.4097900390625,39.79169113087443,41.04645973264643,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,zero_history,60,0.9,True,0.5812530517578125,0.8362619876861572,0.8275998784443446,0.8445815904675859,0.0637380123138428,0.055418409532414135,0.07240012155565541,28.324586868286133,27.772667369853078,28.884446074846572,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,zero_history,180,0.9,True,0.4375,0.847156286239624,0.8383848636336955,0.8554232324481801,0.052843713760376,0.04457676755181989,0.0616151363663046,34.86349868774414,34.27606852371081,35.451319996973055,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,unseen_sport__outdoor_cycling,zero_history,300,0.9,True,0.5260467529296875,0.8443360924720764,0.8354279483099822,0.8528302385611872,0.055663907527923606,0.04716976143881284,0.06457205169001776,37.46871566772461,36.88624993014125,38.06734721966549,452,40943,236748,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,60,0.9,True,0.51953125,0.8585752248764038,0.841555705047273,0.8750849102998709,0.041424775123596214,0.024915089700129147,0.05844429495272702,29.787660598754883,28.441600219924727,31.199332471946615,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,180,0.9,True,0.4187469482421875,0.8670427203178406,0.8485948304657813,0.8845158173085808,0.032957279682159446,0.0154841826914193,0.051405169534218746,37.25264358520508,35.75954542903157,38.79126325892164,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,history_informed,300,0.9,True,0.46224212646484375,0.8545650243759155,0.8234276077770567,0.8784461608374273,0.045434975624084495,0.02155383916257271,0.07657239222294326,40.323631286621094,38.74756886804259,42.02044108749984,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,zero_history,60,0.9,True,0.5812530517578125,0.841650128364563,0.8251880215553494,0.8587338078331637,0.058349871635437034,0.04126619216683631,0.07481197844465064,28.784635543823242,27.411900544166567,30.202877074093013,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,zero_history,180,0.9,True,0.4375,0.8471721410751343,0.830169809658032,0.8631460080673169,0.052827858924865745,0.03685399193268315,0.06983019034196801,35.28388977050781,33.815911343809844,36.77534391725218,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,1,outdoor_cycling,joint_user_sport__outdoor_cycling,zero_history,300,0.9,True,0.5260467529296875,0.833279013633728,0.8031600824037155,0.8572811948401587,0.066720986366272,0.04271880515984129,0.09683991759628446,37.9077033996582,36.44147181944414,39.450861886259794,77,6097,37856,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
