model_version,protocol,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.9.0,unseen_user_train,unseen_user_validation,transformer,60,6.24662971496582,7.5648112297058105,0.30974259972572327,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_validation,transformer,180,7.770838737487793,9.371363639831543,0.37533533573150635,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_validation,transformer,300,8.297018051147461,9.94958782196045,0.25359728932380676,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_test,transformer,60,5.850656509399414,7.132297515869141,-0.00933238584548235,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_test,transformer,180,7.395923614501953,8.944514274597168,0.04295376315712929,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,unseen_user_test,transformer,300,8.257617950439453,9.889312744140625,0.025890177115797997,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_frozen_external,transformer,60,7.492887020111084,9.672234535217285,-0.26196417212486267,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_frozen_external,transformer,180,10.240888595581055,12.920231819152832,-0.5446356534957886,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_frozen_external,transformer,300,11.266056060791016,14.108980178833008,-0.6493732929229736,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__outdoor_cycling,transformer,60,7.726974010467529,9.980308532714844,-0.2584088146686554,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__outdoor_cycling,transformer,180,10.55264949798584,13.326118469238281,-0.5563100576400757,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__outdoor_cycling,transformer,300,11.603982925415039,14.553540229797363,-0.6795694231987,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,transformer,60,6.4985480308532715,8.277253150939941,-0.7925903797149658,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,transformer,180,9.74767780303955,12.116385459899902,-0.9194177985191345,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,transformer,300,11.663283348083496,14.290773391723633,-1.0481592416763306,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__running,transformer,60,5.724725246429443,7.687251091003418,0.6188508868217468,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__running,transformer,180,7.7160515785217285,9.89477252960205,0.5056940317153931,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.9.0,unseen_user_train,goldencheetah_external__running,transformer,300,8.639811515808105,10.934487342834473,0.8129661083221436,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
