model_version,regime,mode,horizon_seconds,nominal_coverage,calibrated,picp,absolute_coverage_error,mean_interval_width_bpm,conformal_adjustment_bpm,users,sessions,origins
0.11.0,unseen_user_validation,zero_history,60,0.5,False,0.4922325611114502,0.007767438888549805,9.537440299987793,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.5,False,0.4973064363002777,0.00269356369972229,11.64753532409668,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.5,False,0.4953465759754181,0.004653424024581909,12.601844787597656,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.5,True,0.4922325611114502,0.007767438888549805,9.537440299987793,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.5,True,0.4973064363002777,0.00269356369972229,11.64753532409668,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.5,True,0.4953465759754181,0.004653424024581909,12.601844787597656,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.8,False,0.7883752584457397,0.011624741554260298,18.70606803894043,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.8,False,0.7870416045188904,0.012958395481109664,23.085573196411133,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.8,False,0.7945166826248169,0.00548331737518315,25.171039581298828,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.8,True,0.7883752584457397,0.011624741554260298,18.70606803894043,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.8,True,0.7870416045188904,0.012958395481109664,23.085573196411133,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.8,True,0.7945166826248169,0.00548331737518315,25.171039581298828,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.9,False,0.8897124528884888,0.010287547111511253,24.878889083862305,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.9,False,0.8893337845802307,0.01066621541976931,31.052146911621094,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.9,False,0.8923047780990601,0.007695221900939964,33.726768493652344,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,60,0.9,True,0.8910006880760193,0.008999311923980735,24.93963623046875,0.0303802490234375,127,19062,123370
0.11.0,unseen_user_validation,zero_history,180,0.9,True,0.8893337845802307,0.01066621541976931,31.052146911621094,0.0,127,19062,123370
0.11.0,unseen_user_validation,zero_history,300,0.9,True,0.8923047780990601,0.007695221900939964,33.726768493652344,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.5,False,0.4958752393722534,0.004124760627746582,9.592435836791992,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.5,False,0.49773702025413513,0.002262979745864868,11.847951889038086,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.5,False,0.4942370653152466,0.005762934684753418,12.752204895019531,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.5,True,0.4958752393722534,0.004124760627746582,9.592435836791992,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.5,True,0.49773702025413513,0.002262979745864868,11.847951889038086,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.5,True,0.4942370653152466,0.005762934684753418,12.752204895019531,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.8,False,0.7924804091453552,0.00751959085464482,18.854629516601562,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.8,False,0.7911224961280823,0.008877503871917769,23.41238784790039,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.8,False,0.7966133952140808,0.003386604785919234,25.315128326416016,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.8,True,0.7924804091453552,0.00751959085464482,18.854629516601562,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.8,True,0.7911224961280823,0.008877503871917769,23.41238784790039,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.8,True,0.7966133952140808,0.003386604785919234,25.315128326416016,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.9,False,0.8943372964859009,0.005662703514099143,25.172931671142578,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.9,False,0.8951390385627747,0.004860961437225364,31.40778160095215,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.9,False,0.8977675437927246,0.002232456207275413,33.917545318603516,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,60,0.9,True,0.8953142166137695,0.004685783386230491,25.251035690307617,0.0390625,127,19062,123370
0.11.0,unseen_user_validation,history_informed,180,0.9,True,0.8951390385627747,0.004860961437225364,31.40778160095215,0.0,127,19062,123370
0.11.0,unseen_user_validation,history_informed,300,0.9,True,0.8977675437927246,0.002232456207275413,33.917545318603516,0.0,127,19062,123370
0.11.0,unseen_user_test,zero_history,60,0.5,False,0.48342835903167725,0.016571640968322754,8.923381805419922,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.5,False,0.4755927324295044,0.024407267570495605,10.996148109436035,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.5,False,0.47785961627960205,0.02214038372039795,11.929905891418457,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.5,True,0.48342835903167725,0.016571640968322754,8.923381805419922,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.5,True,0.4755927324295044,0.024407267570495605,10.996148109436035,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.5,True,0.47785961627960205,0.02214038372039795,11.929905891418457,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.8,False,0.7876461744308472,0.012353825569152876,17.55967903137207,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.8,False,0.7839660048484802,0.01603399515151982,21.857715606689453,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.8,False,0.7788750529289246,0.021124947071075484,23.92953109741211,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.8,True,0.7876461744308472,0.012353825569152876,17.55967903137207,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.8,True,0.7839660048484802,0.01603399515151982,21.857715606689453,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.8,True,0.7788750529289246,0.021124947071075484,23.92953109741211,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.9,False,0.8881853222846985,0.011814677715301536,23.42063331604004,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.9,False,0.8862467408180237,0.01375325918197634,29.522640228271484,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.9,False,0.8779008388519287,0.02209916114807131,32.20851516723633,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,60,0.9,True,0.8893775343894958,0.010622465610504173,23.481266021728516,0.0303802490234375,105,15026,101184
0.11.0,unseen_user_test,zero_history,180,0.9,True,0.8862467408180237,0.01375325918197634,29.522640228271484,0.0,105,15026,101184
0.11.0,unseen_user_test,zero_history,300,0.9,True,0.8779008388519287,0.02209916114807131,32.20851516723633,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.5,False,0.48889967799186707,0.011100322008132935,8.994180679321289,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.5,False,0.47926461696624756,0.02073538303375244,11.117942810058594,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.5,False,0.481361448764801,0.018638551235198975,12.018022537231445,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.5,True,0.48889967799186707,0.011100322008132935,8.994180679321289,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,0.5,True,0.47926461696624756,0.02073538303375244,11.117942810058594,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,0.5,True,0.481361448764801,0.018638551235198975,12.018022537231445,0.0,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,0.8,False,0.7938156127929688,0.006184387207031294,17.736310958862305,0.0,105,15026,101184
