model_version,regime,mode,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.11.0,unseen_user_validation,zero_history,history_quantile_tcn,60,6.244073867797852,7.570007801055908,0.509951651096344,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,zero_history,history_quantile_tcn,180,7.813691139221191,9.405241966247559,0.9317280650138855,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,zero_history,history_quantile_tcn,300,8.32426643371582,9.976920127868652,0.776722252368927,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,history_informed,history_quantile_tcn,60,6.1835198402404785,7.493354320526123,0.46752506494522095,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,history_informed,history_quantile_tcn,180,7.731301784515381,9.295125961303711,0.7333089709281921,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_validation,history_informed,history_quantile_tcn,300,8.211639404296875,9.83042049407959,0.6308941841125488,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,zero_history,history_quantile_tcn,60,5.868225574493408,7.1484856605529785,0.17227263748645782,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,zero_history,history_quantile_tcn,180,7.483583450317383,8.997401237487793,0.5082719326019287,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,zero_history,history_quantile_tcn,300,8.251067161560059,9.868489265441895,0.40438610315322876,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,history_informed,history_quantile_tcn,60,5.831853866577148,7.100219249725342,0.22669194638729095,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,history_informed,history_quantile_tcn,180,7.397328853607178,8.890103340148926,0.474986732006073,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,unseen_user_test,history_informed,history_quantile_tcn,300,8.126999855041504,9.722333908081055,0.4415894150733948,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_frozen_external,zero_history,history_quantile_tcn,60,7.4545416831970215,9.638124465942383,0.34893113374710083,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_frozen_external,zero_history,history_quantile_tcn,180,10.205812454223633,12.877962112426758,0.5009854435920715,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_frozen_external,zero_history,history_quantile_tcn,300,11.213605880737305,14.043001174926758,0.4338156282901764,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,history_quantile_tcn,60,7.697455883026123,9.956713676452637,0.3603433072566986,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,history_quantile_tcn,180,10.524621963500977,13.294647216796875,0.48156529664993286,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,history_quantile_tcn,300,11.567116737365723,14.503706932067871,0.4089900851249695,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,history_quantile_tcn,60,6.399306774139404,8.21452522277832,0.21476542949676514,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,history_quantile_tcn,180,9.548711776733398,12.011630058288574,0.8681378960609436,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,history_quantile_tcn,300,11.40442943572998,14.125090599060059,0.7722457051277161,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__running,zero_history,history_quantile_tcn,60,5.706521034240723,7.660640239715576,0.4983861446380615,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__running,zero_history,history_quantile_tcn,180,7.713495254516602,9.845870018005371,0.44574984908103943,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.11.0,goldencheetah_external__running,zero_history,history_quantile_tcn,300,8.702949523925781,10.98603630065918,0.5534021258354187,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
