model_version,protocol,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.8.0,unseen_user_train,unseen_user_validation,xgboost,60,6.2749152183532715,7.547032833099365,0.15482200682163239,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,unseen_user_validation,xgboost,180,7.7620463371276855,9.252737045288086,0.14489492774009705,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,unseen_user_validation,xgboost,300,8.317502975463867,9.865525245666504,-0.05672938749194145,127,19062,123370,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,unseen_user_test,xgboost,60,5.926463603973389,7.152414321899414,-0.2784630060195923,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,unseen_user_test,xgboost,180,7.49261474609375,8.932011604309082,-0.32772594690322876,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,unseen_user_test,xgboost,300,8.354336738586426,9.894292831420898,-0.5660570859909058,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_frozen_external,xgboost,60,7.65366792678833,9.697327613830566,-0.5722408294677734,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_frozen_external,xgboost,180,10.437435150146484,12.84876823425293,-1.1865006685256958,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_frozen_external,xgboost,300,11.556163787841797,14.06946849822998,-1.8960001468658447,144,31851,531725,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__outdoor_cycling,xgboost,60,7.895634174346924,10.010028839111328,-0.577812671661377,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__outdoor_cycling,xgboost,180,10.755993843078613,13.255887985229492,-1.1922569274902344,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__outdoor_cycling,xgboost,300,11.926368713378906,14.52884292602539,-1.9911164045333862,143,25757,470820,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,xgboost,60,6.751728534698486,8.412263870239258,-1.2930505275726318,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,xgboost,180,9.977408409118652,12.107423782348633,-1.8256571292877197,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__indoor_virtual_cycling,xgboost,300,11.796344757080078,14.181069374084473,-2.1143345832824707,41,2275,26235,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__running,xgboost,60,5.834656238555908,7.676077842712402,0.47342994809150696,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__running,xgboost,180,7.792497634887695,9.817012786865234,0.01590687781572342,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
0.8.0,unseen_user_train,goldencheetah_external__running,xgboost,300,8.606226921081543,10.78382682800293,0.19082853198051453,50,3819,34670,"origin-within-session, session-within-user, equal-user mean"
